ISBN,Title,Author,Description,Unformatted Tags,Formatted Tags
123456789,Bear Snores On,Karma Wilson,desc(isbn_from_words(bookList[i][0])),['cooperation/working together'],"[['social', 'connection', 'sharing'], ['language:Rhyming'], ['language:alliteration'], ['social:friendship'], ['emotions:empathy'], ['social:feeling left out'], ['language:repetition'], ['introduces new concept:introduces new concept'], ['seasons:seasons'], ['celebration:party'], ['social:inclusivity']]"
123456789,Being you: a first conversation about gender,"Megan Madison,Jessica Ralli and Anne/Andy Passchier",desc(isbn_from_words(bookList[i][0])),['glossary/pronunciation guide'],"[['body', 'parts'], ['gender', 'identity', 'binary', 'expression'], ['gender:assignment'], ['difficult topics:stereotypes'], ['gender:pronouns'], ['feminism:feminism'], ['difficult topics:patriarchy'], ['empowerment:empowerment'], ['activism:activism'], ['culture:identity'], ['identity expression:identity expression']]"
123456789,Beyond the Gender Binary,Alok Vaid-Menon,desc(isbn_from_words(bookList[i][0])),[],
123456789,Blueberries For Sal,Robert McCloskey,desc(isbn_from_words(bookList[i][0])),"['daily tasks/activities/routines', 'anxiety/fear', 'repetitive phrases']",
123456789,Boom baby boom boom,Margaret Mahy,desc(isbn_from_words(bookList[i][0])),['repetitive phrases'],
123456789,Brayden speaks up,Brayden Harrington,desc(isbn_from_words(bookList[i][0])),[],
123456789,Bright Star,Yuyi Morales,desc(isbn_from_words(bookList[i][0])),['anxiety/fear'],"[['multilingual text', 'code-switching'], ['emotions', 'emotional regulation'], ['immigration:immigration'], ['perception:color'], ['perception:texture'], ['perception:motion perception'], ['perception:vision'], ['perception:hearing'], ['imagination:imagination'], ['borders:borders']]"
123456789,Bruce's big move,Ryan T. Higgins,desc(isbn_from_words(bookList[i][0])),[],"[['family', 'found'], ['perception:similarity'], ['emotions:emotions'], ['social:friendship'], ['home:home'], ['moving:moving']]"
123456789,bubbie and rivka's best ever challah (so far),sarah lynne reul,desc(isbn_from_words(bookList[i][0])),"['perseverance', 'determination']","[['culture', 'foods'], ['family', 'generations', 'time'], ['multilingual text', 'code-switching', 'Yiddish'], ['patience:patience'], ['cognition:creative thinking/solutions'], ['language:sound effects'], ['language:word learning'], ['emotions:optimism']]"
123456789,Calvin,JR and Vanessa Ford,desc(isbn_from_words(bookList[i][0])),['anxiety/fear'],"[['racial diversity'], ['ethnic diversity'], ['(dis)ability', 'diversity'], ['emotions', 'emotional regulation'], ['gender', 'identity', 'transition', 'transgender'], ['self-concept'], ['gender:Transgender child'], ['culture:identity'], ['social:unconditional love'], ['perception:motion perception'], ['perception:foreground/background'], ['includes additional resources:includes additional resources'], ['acceptance:acceptance'], ['support:support'], ['identity expression:identity expression']]"
123456789,Caps For Sale,Esphyr Slobodkina,desc(isbn_from_words(bookList[i][0])),[],
123456789,catching the moon-the story of a young girls baseball dream,crystal hubbard,desc(isbn_from_words(bookList[i][0])),[],
123456789,Chicka Chicka Boom Boom,Bill Martin Jr & John Archambault,desc(isbn_from_words(bookList[i][0])),[],"[['language', 'repetition', 'learning the alphabet'], ['cognition', 'cause and effect'], ['language:rhyming'], ['language:upper vs. lowercase letters'], ['language:alliteration'], ['language:adjectives']]"
123456789,click clack moo cows that type,doreen cronin,desc(isbn_from_words(bookList[i][0])),"['speaking up/standing up for yourself and others', 'critical thinking/problem-solving', 'cooperation/working together']",
123456789,Cloudy With a Chance of Meatballs,Judi Barrett,desc(isbn_from_words(bookList[i][0])),[],
123456789,counting in dog years and other sassy math poems,betsy franco,desc(isbn_from_words(bookList[i][0])),[],"[['perception', 'Gestalt principles', 'similarity'], ['family'], ['language:word play'], ['family:time'], ['culture:identity'], ['math:math'], ['language:descriptive'], ['anthropomorphizing:anthropomorphizing'], ['shapes:shapes'], ['math:numbers']]"
123456789,Curious George: My favorite things,Margret and H. A. Rey,desc(isbn_from_words(bookList[i][0])),['daily tasks/activities/routines'],
123456789,Curious George's First Day of School,H. A. Rey,desc(isbn_from_words(bookList[i][0])),"['Cooperation/working together', 'help others', 'daily tasks/activities/routines']",
123456789,Daddy & Dada,Ryan Brockington & Isaac Webster,desc(isbn_from_words(bookList[i][0])),[],"[['racial diversity'], ['ethnic diversity'], ['(dis)ability', 'diversity'], ['family', 'generations', 'activities', 'parent-child relationships', 'structures'], ['family:sibling relationships'], ['gay marriage:gay marriage'], ['acceptance:acceptance'], ['family:love']]"
123456789,dear primo: a letter to my cousin,duncan tonatiuh,desc(isbn_from_words(bookList[i][0])),[],"[['multilingual text', 'Spanish and English', 'code-switching'], ['language:word learning'], ['language:visual/contextual word learning']]"
123456789,"Dim sum,here we come",Maple Lam,desc(isbn_from_words(bookList[i][0])),[],"[['culture', 'customs', 'foods'], ['family', 'activities', 'time', 'traditions'], ['social', 'sharing', 'taking turns'], ['meaning'], ['manners:manners'], ['patience:patience']]"
123456789,Do your ears hang low?,Jenny Cooper,desc(isbn_from_words(bookList[i][0])),[],"[['rhythm'], ['contrast'], ['language:Rhyming'], ['perception:texture'], ['emotions:emotions'], ['perception:motion'], ['includes additional resources:includes additional resources']]"
123456789,Don't hug Doug (he doesn't like it),Carrie Finison,desc(isbn_from_words(bookList[i][0])),[],"[['body', 'bodily autonomy', 'consent'], ['different:individual differences'], ['personal space:personal space'], ['language:rhyming']]"
123456789,Don't hug the quokka,Daniel Errico,desc(isbn_from_words(bookList[i][0])),[],"[['body', 'bodily autonomy', 'consent', 'language', 'gestures'], ['social:multiple types of communication'], ['parental guide:parental guide']]"
123456789,Dream snow,Eric Carle,desc(isbn_from_words(bookList[i][0])),[],"[['language', 'word object associations'], ['naming:Naming'], ['matching:matching']]"
123456789,Dreamers,Yuyi Morales,desc(isbn_from_words(bookList[i][0])),[],"[['culture'], ['storytelling'], ['immigration:immigration'], ['challenges in a new place:challenges in a new place'], ['power of knowledge/books:power of knowledge/books'], ['resilience:resilience'], ['language:word learning'], ['library:library']]"
123456789,Duck and goose: Goose needs a hug,Tad Hills,desc(isbn_from_words(bookList[i][0])),[],
123456789,Ella the elegant elephant,Carmela & Steven D'amico,desc(isbn_from_words(bookList[i][0])),"['anxiety/fear', 'help others']","[['social', 'withdrawn rejected child category'], ['self-expression'], ['starting at a new school:starting at a new school'], ['social:making friends'], ['social:bullying'], ['self:being yourself'], ['personal style:personal style'], ['social:finding your place']]"
123456789,"Ernest,the moose who doesn't fit",Catherine Rayner,desc(isbn_from_words(bookList[i][0])),['determination'],
123456789,every last bubble must pop,jason carter eaton,desc(isbn_from_words(bookList[i][0])),"['adventure', 'determination']","[['cognition', 'critical thinking', 'problem-solving'], ['perception', 'motion'], ['competition'], ['perception:Motion perception'], ['language:verbs'], ['family:time'], ['social:friendship'], ['perception:changing light'], ['emotions:loneliness'], ['persistence:persistence'], ['emotions:curiosity'], ['resilience:resilience'], ['language:communication']]"
123456789,Everybody cooks rice,Norah Dooley,desc(isbn_from_words(bookList[i][0])),[],"[['culture', 'foods'], ['culture:similarities'], ['culture:differences'], ['language:word learning']]"
123456789,Eyes that kiss in the corners,Joanna Ho,desc(isbn_from_words(bookList[i][0])),[],"[['family', 'generations', 'relationships'], ['language', 'descriptive'], ['culture', 'identity', 'history'], ['self-acceptance'], ['self-love'], ['(dis)ability:diversity'], ['culture:identity'], ['perception:motion'], ['perception:Gestalt principles'], ['perception:texture gradient'], ['perception:relative size'], ['family:love'], ['language:repetition'], ['imagination:imagination'], ['outer beauty:outer beauty']]"
123456789,Fancy Nancy,Jane O'Connor,desc(isbn_from_words(bookList[i][0])),['daily tasks/activities/routines'],"[['family', 'activities', 'time', 'parent-child relationships', 'caring for each other'], ['language', 'repetition', 'development'], ['support'], ['egocentrism'], ['preoperational stage'], ['self-concept'], ['self-confidence'], ['self-expression'], ['self-identity'], ['self-love'], ['culture:identity'], ['perception:motion perception'], ['family:love'], ['emotions:embarrassment'], ['personal style:personal style'], ['uniqueness:uniqueness'], ['language:sophisticated vocabulary'], ['social:socialization'], ['social:developing positive relationships with others'], ['creativity:creativity'], ['social:kindness'], ['language:word learning']]"
123456789,Fighting For Yes,Maryann Cocca-Leffler,desc(isbn_from_words(bookList[i][0])),"['Determination', 'cooperation/working together']","[['cognition', 'critical thinking', 'problem-solving'], ['advocacy'], ['difficult topics:discrimination'], ['community support:community support'], ['(dis)ability:Americans With Disabilities Act']]"
123456789,Firebird,Misty Copeland,desc(isbn_from_words(bookList[i][0])),[],"[['self-acceptance'], ['self-confidence'], ['perception:motion perception'], ['language:similes'], ['family:time'], ['practice:practice'], ['(dis)ability:diversity']]"
123456789,flash and gleam - light in our world,sue fliess,desc(isbn_from_words(bookList[i][0])),"[""we're different but the same""]","[['emotions', 'emotional regulation', 'optimism'], ['perception', 'light'], ['celebration'], ['language:rhyming'], ['(dis)ability:diversity'], ['celebration:holidays'], ['science behind light:science behind light'], ['perception:relative size'], ['perception:Gestalt principles'], ['teaches children to find ways to shine during difficult times:teaches children to find ways to shine during difficult times'], ['resilience:resilience'], ['persistence:persistence'], ['positive psychology:positive psychology'], ['emotions:gratitude']]"
123456789,Flyaway Katie,Polly Dunbar,desc(isbn_from_words(bookList[i][0])),[],
123456789,Fred gets dressed,Peter Brown,desc(isbn_from_words(bookList[i][0])),['confidence'],"[['gender', 'norms', 'expression'], ['family'], ['self-acceptance'], ['personal style'], ['acceptance:acceptance'], ['support:support'], ['self:being yourself'], ['gender:expression']]"
123456789,Frog and Toad Together,Arnold Lobel,desc(isbn_from_words(bookList[i][0])),"['daily tasks/activities/routines', 'anxiety/fear', 'I CAN READ book', 'help others', 'critical thinking/problem-solving']","[['social', 'sharing'], ['self-concept'], ['social:Friendship'], ['getting organized:getting organized'], ['routine fixedness/adaptability:routine fixedness/adaptability'], ['patience:patience'], ['growing cycle:growing cycle'], ['inhibition:inhibition'], ['comparison:comparison'], ['social:showing love without using words'], ['cooking:cooking'], ['food:food'], ['cognition:executive function'], ['bravery:bravery'], ['family:love']]"
123456789,Fuddles and Puddles,Frans Vischer,desc(isbn_from_words(bookList[i][0])),[],
123456789,"Glad,Glad Bear!",Kimberly Gee,desc(isbn_from_words(bookList[i][0])),[],"[['gender', 'roles', 'specific activities']]"
123456789,Goodnight Bubbala,Sheryl Haft,desc(isbn_from_words(bookList[i][0])),[],"[['culture', 'foods', 'traditions'], ['multilingual text', 'Yiddish', 'code-switching'], ['parody:parody'], ['language:word learning']]"
123456789,Goodnight Moon,Margaret Wise Brown,desc(isbn_from_words(bookList[i][0])),['repetitive phrases'],
123456789,"Grace Banker and her hello girls,answer the call",Claudia Friddell,desc(isbn_from_words(bookList[i][0])),[],
123456789,grandmas records,eric velasquez,desc(isbn_from_words(bookList[i][0])),[],
123456789,hair love,matthew a. cherry,desc(isbn_from_words(bookList[i][0])),[],"[['family'], ['self-acceptance'], ['culture:Identity'], ['racial style:racial style'], ['breaking norms:breaking norms'], ['persistence:persistence']]"
123456789,Hanukkah Hop!,Erica Silverman,desc(isbn_from_words(bookList[i][0])),[],
123456789,Happy in our skin,Fran Manushkin,desc(isbn_from_words(bookList[i][0])),[],"[['self-love'], ['(dis)ability:diversity'], ['function of the skin:function of the skin']]"
123456789,Hark! A Vagrant,Kate Beaton,desc(isbn_from_words(bookList[i][0])),[],
123456789,Harold and the Purple Crayon,Crockett Johnson,desc(isbn_from_words(bookList[i][0])),"['adventure', 'daily tasks/activities/routines', 'critical thinking/problem-solving', 'anxiety/fear']","[['cognition', 'reasoning and decision making skills'], ['perception', 'use of color'], ['cognition:Creative thinking/solutions'], ['language:adjectives'], ['perception:relative size'], ['perception:texture gradient'], ['creativity:creativity'], ['internal motivation to learn:internal motivation to learn'], ['creativity:creativity'], ['cognition:executive function'], ['imagination:imagination'], ['cognition:making decisions']]"
123456789,Hero dad,Melinda Hardin,desc(isbn_from_words(bookList[i][0])),[],"[['family', 'structures'], ['military:Military'], ['family:military families'], ['heroism:heroism']]"
123456789,Ho'onani Hula Warrior,Heather Gale,desc(isbn_from_words(bookList[i][0])),[],"[['multilingual text', 'code-switching'], ['family', 'relationships'], ['language', 'development', 'alliteration'], ['gender', 'binary', 'spectrum'], ['culture', 'traditions', 'sense of culture'], ['perception', 'spotlight effect'], ['self-concept'], ['self-confidence'], ['gender:norms'], ['language:rhyming'], ['support:support'], ['different:sociocultural differences']]"
123456789,honk honk goose,april pulley sayre,desc(isbn_from_words(bookList[i][0])),[],
123456789,How Do Dinosaurs Learn to Read?,Jane Yolen & Mark Teague,desc(isbn_from_words(bookList[i][0])),"['managing of', 'encouragement to reread', 'determination', 'perseverance']","[['language', 'rhyming', 'glossary', 'pronunciation guide'], ['cognition', 'cause and effect', 'deeper processing'], ['perception', 'motion', 'visual attention'], ['emotions', 'emotional recognition', 'anger'], ['language:word search'], ['language:alphabet'], ['language:learning the alphabet'], ['anthropomorphizing:anthropomorphizing'], ['inspiring children/students:inspiring children/students'], ['patience:patience']]"
123456789,how do dinosaurs say happy birthday?,jane yolen & mark teague,desc(isbn_from_words(bookList[i][0])),['help others'],"[['social', 'sharing'], ['celebration:Celebration'], ['celebration:birthday'], ['language:rhyming'], ['anthropomorphizing:anthropomorphizing'], ['selfishness:selfishness'], ['manners:manners'], ['social:kindness'], ['tutorial on manners:tutorial on manners']]"
123456789,How Much Is A Million?,David M. Schwartz,desc(isbn_from_words(bookList[i][0])),[],"[['language', 'descriptive'], ['math:Number concepts'], ['perception:relative size'], ['perception:Gestalt principles'], ['perception:motion perception'], ['family:time'], ['language:alliteration'], ['math:large number comprehension']]"
123456789,How we say I love you,Nicole Chen,desc(isbn_from_words(bookList[i][0])),[],"[['culture', 'customs', 'values'], ['multilingual text', 'Mandarin Chinese', 'code-switching'], ['Taiwanese Hokkien'], ['and English'], ['family', 'honoring elders'], ['language:word learning'], ['social:love languages'], ['social:showing love without using words']]"
123456789,Hundred years of happiness,Thanhha Lai,desc(isbn_from_words(bookList[i][0])),[],"[['family', 'generations', 'caring for each other'], ['culture'], ['memory', 'memory loss'], ['culture:memory'], ['perception:continuity'], ['perception:similarity'], ['aging:aging'], ['language:word learning']]"
123456789,I am golden,Eva Chen,desc(isbn_from_words(bookList[i][0])),['perseverance'],"[['culture', 'heritage'], ['family', 'history'], ['self-concept'], ['different:embracing differences'], ['culture:identity'], ['names have meaning:names have meaning'], ['immigration:immigration'], ['social:isolation'], ['resilience:resilience'], ['celebration:celebration'], ['food:food'], ['multiculturalism:multiculturalism']]"
123456789,I am living in 2 homes,Garcelle Beauvais and Sebastian A. Jones,desc(isbn_from_words(bookList[i][0])),[],"[['family', 'activities', 'time', 'structures', 'relationships', 'caring for each other'], ['emotions', 'emotional regulation', 'anxiety', 'fear'], ['difficult topics:divorce'], ['family:love'], ['language:rhyming']]"
123456789,I Am Not A Label,Cerrie Burnell,desc(isbn_from_words(bookList[i][0])),[],
123456789,I Am Ruby Bridges,Ruby Bridges,desc(isbn_from_words(bookList[i][0])),[],"[['competition'], ['race:Race'], ['difficult topics:racism'], ['culture:pride'], [""social:not wanting to hurt other people's feelings""], ['dream big/following dreams:dream big/following dreams']]"
123456789,I am stronger than anxiety,Elizabeth Cole,desc(isbn_from_words(bookList[i][0])),[],"[['language', 'rhyming'], ['emotions', 'anxiety', 'fear', 'managing emotions'], ['perception:motion']]"
123456789,i can fly,ruth krauss,desc(isbn_from_words(bookList[i][0])),[],"[['self-acceptance'], ['language:rhyming'], ['animal sounds:animal sounds'], ['self:being yourself']]"
123456789,i hear a pickle,rachel isadora,desc(isbn_from_words(bookList[i][0])),[],
123456789,I like myself,Karen Beaumont,desc(isbn_from_words(bookList[i][0])),[],"[['self-acceptance'], ['self-esteem'], ['uniqueness:uniqueness'], ['culture:identity'], ['language:rhyming'], ['perception:motion perception']]"
123456789,i scream ice cream,amy krouse rosenthal,desc(isbn_from_words(bookList[i][0])),"['managing of', 'cooperation/working together']","[['emotions', 'emotional regulation', 'empathy'], ['language', 'word play', 'word segmentation'], ['social', 'social skills'], ['resolution'], ['cognition:delayed gratification'], ['patience:patience'], ['language:communication'], ['conflict:conflict']]"
123456789,I want my hat back,Jon Klassen,desc(isbn_from_words(bookList[i][0])),['help others'],
123456789,I'm gonna climb a mountain in my patent leather shoes,Marilyn Singer,desc(isbn_from_words(bookList[i][0])),[],"[['family', 'activities', 'time'], ['different environments'], ['self-confidence'], ['self-expression'], ['language:rhyming'], ['leaving comfort zone:leaving comfort zone'], ['female empowerment:female empowerment'], ['family:sibling relationships'], ['imagination:imagination']]"
123456789,I'm hungry Tengo Hambre,Angela Dominguez,desc(isbn_from_words(bookList[i][0])),['help others'],"[['multilingual text', 'Spanish and English'], ['picky eaters'], ['language:Word learning'], ['social:friendship'], ['cognition:making decisions']]"
123456789,"I'm not scared,you're scared",Seth Myers,desc(isbn_from_words(bookList[i][0])),['anxiety/fear'],
123456789,If you give a mouse a cookie,Laura Numeroff,desc(isbn_from_words(bookList[i][0])),"['help others', 'Daily tasks/activities/routines']","[['social', 'standing up for yourself and others', 'learning to say no'], ['(dis)ability', 'ADHD'], ['cognition:Cause and effect'], ['perception:motion perception'], ['not finishing what you start:Not finishing what you start']]"
123456789,If You Give A Pig A Pancake,Laura Numeroff,desc(isbn_from_words(bookList[i][0])),"['help others', 'speaking up/standing up for yourself and others']","[['(dis)ability', 'ADHD'], ['cognition:Cause and effect'], ['perception:motion perception'], ['not finishing what you start:not finishing what you start'], ['social:learning to say no']]"
123456789,If you're hoppy,april pulley sayre,desc(isbn_from_words(bookList[i][0])),[],
123456789,imani's moon,janay brown-wood,desc(isbn_from_words(bookList[i][0])),"['determination', 'perseverance']","[['culture', 'customs'], ['perception', 'proximity', 'motion'], ['multilingual text', 'code-switching'], ['family', 'parent-child relationships'], ['self-confidence'], ['social:bullying'], ['storytelling:storytelling'], ['language:word learning'], ['bravery:bravery'], ['dream big/following dreams:dream big/following dreams'], ['cognition:creative thinking/solutions'], ['celebration:celebration'], ['perception:Gestalt principles'], ['language:sound effects'], ['language:word learning']]"
123456789,Is There Really a Human Race?,Jamie Lee Curtis,desc(isbn_from_words(bookList[i][0])),"['competition or having fun?', 'help others']","[['language', 'rhyming', 'literal vs. figurative language'], ['perception', 'motion', 'visual attention'], ['social:understanding your place'], ['search strategies:search strategies']]"
123456789,Isabel and her colores go to school,Alexandra Alessandri,desc(isbn_from_words(bookList[i][0])),['anxiety/fear'],"[['multilingual text', 'Spanish and English', 'code-switching'], ['language', 'glossary', 'pronunciation guide', 'word learning'], ['perception', 'color'], ['first day of school:First day of school'], ['language:similes'], ['language:metaphors'], ['language:communication'], ['social:friendship'], ['social:belonging'], ['social:making friends'], ['emotions:sadness'], ['creativity:creativity'], ['resilience:resilience'], ['social:finding your place']]"
123456789,Islandborn,Junot Díaz,desc(isbn_from_words(bookList[i][0])),[],"[['multilingual text', 'code-switching'], ['perception', 'motion', 'light'], ['culture', 'identity'], ['perception:Gestalt principles'], ['perception:similarity'], ['perception:proximity'], ['perception:grouping'], ['language:similes'], ['good vs. evil:good vs. evil'], ['interesting mix of words and pictures:interesting mix of words and pictures']]"
123456789,It's Diwali,Kabir Sehgal & Surishtha Sehgal,desc(isbn_from_words(bookList[i][0])),[],"[['culture'], ['celebration:Diwali'], ['celebration:holidays'], ['perception:similarity'], ['perception:color'], ['language:word learning'], ['math:counting'], ['language:rhyming']]"
123456789,Jacob's New Dress,Sarah & Ian Hoffman,desc(isbn_from_words(bookList[i][0])),[],"[['gender', 'identity', 'nonconformity'], ['self-expression'], ['sex roles:sex roles'], ['social:bullying'], ['imagination:imagination'], ['social:friendship'], ['culture:pride']]"
123456789,Jazz baby,Lisa Wheeler,desc(isbn_from_words(bookList[i][0])),[],
123456789,Julián is a Mermaid,Jessica Love,desc(isbn_from_words(bookList[i][0])),[],"[['gender', 'roles', 'expression'], ['multilingual text', 'code-switching'], ['self-expression'], ['perception:motion perception'], ['culture:identity'], ['pictures without words:pictures without words'], ['acceptance:acceptance'], ['self:being yourself']]"
123456789,Just in case,Yuyi Morales,desc(isbn_from_words(bookList[i][0])),['repetitive phrases'],"[['perception', 'visual attention'], ['language', 'word learning', 'phonemes'], ['social:friendship'], ['language:alphabet']]"
123456789,Keepunumuk: Weeachumun's Thanksgiving story,"Danielle Greendeer,Anthony Perry and Alexis Bunten",desc(isbn_from_words(bookList[i][0])),"['help others', 'caring for the environment']","[['culture'], ['difficult topics:colonization'], ['language:word learning'], ['oral storytelling:oral storytelling'], ['first nation:First Nation'], ['celebration:first Thanksgiving']]"
123456789,Knight Owl,Christopher Denise,desc(isbn_from_words(bookList[i][0])),"['determination', 'anxiety/fear']",
123456789,Knock knock,Tammi Sauer,desc(isbn_from_words(bookList[i][0])),[],
123456789,la princesa and the pea,susan middleton elya,desc(isbn_from_words(bookList[i][0])),['glossary/pronunciation guide'],"[['multilingual text', 'Spanish and English', 'code-switching'], ['language:word learning'], ['language:rhyming'], ['fairy tales:fairy tales']]"
123456789,Let me call you sweetheart,Mary Lee Donovan,desc(isbn_from_words(bookList[i][0])),[],"[['multilingual text', 'code-switching'], ['family'], ['family:love'], ['affection:affection'], ['language:rhyming'], ['food:food'], ['perception:motion']]"
123456789,Let's Play Monsters!,Lucy Cousins,desc(isbn_from_words(bookList[i][0])),[],
123456789,little blue truck,alice schertle,desc(isbn_from_words(bookList[i][0])),"['help others', 'cooperation/working together']","[['emotions', 'anxiety', 'fear'], ['language:rhyming'], ['language:sound effects'], ['teaching children animal sounds:teaching children animal sounds'], ['social:kindness'], ['social:bullying'], ['cognition:cause and effect'], ['manners:manners'], ['social:friendship']]"
