ISBN,Title,Author,Description,Unformatted Tags,Formatted Tags,Language
9780062890290.0,a spoonful of frogs,casey lyall,"frogs are the most important ingredient in a witch's favorite treat--but
they are also the hardest to get into the cauldron! from acclaimed author
casey lyall and caldecott honor artist vera brosgol, a spoonful of frogs is
a humorous and wholly original picture book--and a winning recipe for
readers who loved dragons love tacos and room on the broom. a witch's
favorite treat is frog soup. luckily, it's healthy and easy to make. to
give it that extra kick and a pop of color, the key ingredient is a
spoonful of frogs. but how do you keep the frogs on the spoon? they hop,
they leap, they hide . . . and they escape. what is a poor witch to do?
casey lyall is a master of comedic timing with her deceptively simple and
energetic text, and caldecott honor winnervera brosgol's vibrant, hilarious
illustrations make the witch--and the frogs!--practically leap off the
page. the solution to the witch's dilemma will surprise and delight young
readers and their parents alike. teeming with laugher and hijinks, a
spoonful of frogs is pure fun from beginning to end. a must-have for young
readers, parents, witches, frog-lovers, and aspiring chefs.",['determination'],"[['adaptation'], ['language', 'verbs', 'repetition'], ['perception:motion perception'], ['emotions:frustration'], ['cognition:creative thinking/solutions']]",english
9781534111134.0,a teacher like you,frank murphy & barbara dan,"teachers have the power to change the life of a child with every new school
day. whether they're discovering math or reading, practicing a new
instrument or a new sport, or learning about our wonderful, diverse world,
students can count on the kindness, innovation, and patience of a teacher.
this is a wonderful celebration of all the ways teachers help their
student's bloom.",[],"[['racial diversity'], ['religious diversity'], ['(dis)ability', 'diversity'], ['different:embracing differences'], ['social:kindness'], ['inspiring children/students:inspiring children/students'], [""teachers’ impact on students' lives:teachers’ impact on students' lives""]]",english
9781623542658.0,abuelita and i make flan,adrianna hernandez bergstrum,nan,['critical thinking/problem-solving'],"[['multilingual text', 'spanish and english', 'code-switching'], ['family'], ['language', 'glossary', 'pronunciation guide'], ['language:word learning'], ['social:unconditional love']]","spanish, english"
9781416975762.0,abuelita's heart,amy córdova,"before returning to the city with her parents, a young girl walks with her
grandmother, learning about the special feelings, places, and plants that
are part of her heritage and the southwestern desert where abuelita lives.",[],"[['multilingual text', 'spanish and english', 'code-switching'], ['language:word learning']]","spanish, english"
9781442498167.0,"alexander and the terrible,horrible,no good,very bad day",judith viorst,"from children’s book legend judith viorst comes the perennially popular
tale of alexander’s worst day. alexander and the terrible, horrible, no
good, very bad day is a story that belongs on every child’s bookshelf.
alexander could tell it was going to be a terrible, horrible, no good, very
bad day. he went to sleep with gum in his mouth and woke up with gum in his
hair. when he got out of bed, he tripped over his skateboard and by mistake
dropped his sweater in the sink while the water was running. he could tell
it was going to be a terrible, horrible, no good, very bad day. it was a
terrible, horrible, no good, very bad day. nothing at all was right.
everything went wrong, right down to lima beans for supper and kissing on
tv. what do you do on a day like that? well, you may think about going to
australia. you may also be glad to find that some days are like that for
other people too.","['daily tasks/activities/routines', 'repetitive phrases']","[['emotions', 'emotional regulation', 'managing emotions'], ['family', 'dynamics', 'interactions'], ['conflict:conflict'], ['emotions:anger'], ['emotions:frustration'], ['selfishness:selfishness'], ['family:sibling relationships']]",no language given
9780593429983.0,all are neighbors,alexandra penfold,nan,['repetitive phrases'],"[['(dis)ability', 'diversity'], ['community'], [''], ['language:rhyming'], ['community:community'], ['(dis)ability:diversity'], ['taking care of shared space:taking care of shared space'], ['social:taking care of people'], ['language:repetition'], ['social:inclusivity'], ['language:alternative rhyme scheme'], ['community support:community support'], ['social:belonging'], ['social:kindness'], ['home:home']]",english
9781433819179.0,all my stripes,shaina rudolph and danielle royer,"zane rushes home to tell his mother about problems he faced during his
school day, and she reminds him that while others may only see his ""autism
stripe,"" he has stripes for honesty, caring, and much more.",['anxiety/fear'],"[['(dis)ability', 'autism'], ['socio communicative challenges'], ['family', 'parent-child relationships'], ['self-acceptance'], ['self-concept'], ['self-love'], ['perception:color'], ['(dis)ability:(dis)ability'], ['perception:motion'], ['culture:pride'], ['different:being different'], ['sensory processing challenges:sensory processing challenges'], ['literal and concrete thinking style:literal and concrete thinking style'], ['individual strengths:individual strengths'], ['emotions:sadness'], ['culture:identity']]",english
9780593465516.0,"always with you,always with me",kelly rowland and jessica mckay,"an instant new york times bestseller! a loving ode to modern motherhood by
kelly rowland and jessica mckay. grammy award–winning artist kelly rowland
and educator jessica mckay have crafted a lyrical celebration of working
moms everywhere and a soothing story for their children. as a mother gets
ready to go to work, first she works on building the world for her child.
because it can sometimes be hard to be separated during the day, mom
collects some simple words that she and her child can repeat whenever they
are missing each other or feeling overwhelmed: always with you, always with
me, mommy and child, together we'll be. for any child who needs a little
reassurance or just to share a sweet gesture of affection, always with you,
always with me is a loving tribute to families that honors the work a
mother does both inside and outside of the home.",['repetitive phrases'],"[['family', 'love', 'extended'], ['women in nontraditional jobs'], ['family:time'], ['diverse main character:diverse main character'], ['emotions:separation anxiety'], ['social:attachment/secure attachment'], ['object permanence:object permanence']]",no language given
9780142410585.0,amazing you,gail saltz,"""mom, where do babies come from?"" many parents live in fear of the day
their child asks this question—which inevitably happens, often as early as
the preschool years. here is a picture book designed especially for young
children who are becoming aware of their bodies, but aren't ready to learn
about sexual intercourse. written with warmth and honesty, amazing you!
presents clear and age-appropriate information about reproduction, birth,
and the difference between girls' and boys' bodies. lynne cravath's
lighthearted illustrations enliven the text, making this a book that
parents will gladly share with their young ones.",[],"[['body', 'image', 'parts'], ['self-acceptance'], ['self-love'], ['emotions:curiosity'], ['introduces new concept:introduces new concept'], ['growth:growth'], ['family:time'], ['culture:pride']]",no language given
9780590960755.0,amelia and eleanor go for a ride,pam munoz-ryan,nan,[],nan,no language given
9780062209696.0,amelia bedelia,peggy parrish,"when mrs. rogers leaves amelia bedelia alone in the house on her first day
of work, anything can happen. and it does! with a list of what is to be
done before her, amelia bedelia sets about her duties. and no one could
possibly accuse her of not following directions—for that is precisely what
she does. but when amelia bedelia draws the drapes or dresses a chicken,
the results are hilariously different than might be expected! peggy parish
knows what strikes children as side-splittingly funny and fritz siebel has
drawn amelia bedelia and her literal-minded actions to perfection. a hearty
welcome to amelia bedelia—and long may she reign! this commemorative
fiftieth anniversary edition features the jacket, artwork, and story from
the original 1963 edition of amelia bedelia. also included are seven
additional pages of archival photographs, sketches, and anecdotes and
recollections about the inception and creation of america's beloved
literal-minded housekeeper, amelia bedelia!",['daily tasks/activities/routines'],"[['cognition', 'reasoning and decision making skills'], ['challenges in a new place:challenges in a new place'], ['creativity:creativity'], ['emotions:anger'], ['emotions:frustration'], ['emotions:optimism'], ['food:food'], ['humor:humor'], ['imagination:imagination'], [""it's okay to make mistakes:it's okay to make mistakes""], ['language:word play'], ['patience:patience']]",no language given
9781481459730.0,bear can't sleep,karma wilson,nan,['critical thinking/problem-solving'],nan,english
9781416902720.0,bear snores on,karma wilson,nan,['cooperation/working together'],"[['social', 'connection', 'sharing'], ['language:rhyming'], ['language:alliteration'], ['social:friendship'], ['emotions:empathy'], ['social:feeling left out'], ['language:repetition'], ['introduces new concept:introduces new concept'], ['seasons:seasons'], ['celebration:party'], ['social:inclusivity']]",english
9780593382646.0,being you: a first conversation about gender,"megan madison,jessica ralli and anne/andy passchier","based on the research that race, gender, consent, and body positivity
should be discussed with toddlers on up, this read-aloud board book series
offers adults the opportunity to begin important conversations with young
children in an informed, safe, and supported way. developed by experts in
the fields of early childhood and activism against injustice, this topic-
driven board book offers clear, concrete language and beautiful imagery
that young children can grasp and adults can leverage for further
discussion. while young children are avid observers and questioners of
their world, adults often shut down or postpone conversations on
complicated topics because it's hard to know where to begin. research shows
that talking about issues like race and gender from the age of two not only
helps children understand what they see, but also increases self-awareness,
self-esteem, and allows them to recognize and confront things that are
unfair, like discrimination and prejudice. this second book in the series
begins the conversation on gender, with a supportive approach that
considers both the child and the adult. stunning art accompanies the simple
and interactive text, and the backmatter offers additional resources and
ideas for extending this discussion.",['glossary/pronunciation guide'],"[['body', 'parts'], ['gender', 'identity', 'binary', 'expression'], ['gender:assignment'], ['difficult topics:stereotypes'], ['gender:pronouns'], ['feminism:feminism'], ['difficult topics:patriarchy'], ['empowerment:empowerment'], ['activism:activism'], ['culture:identity'], ['identity expression:identity expression']]",english 
9780593094655.0,beyond the gender binary,alok vaid-menon,"winner of the 2021 in the margins award ""when reading this book, all i feel
is kindness.""-- sam smith, grammy and oscar award-winning singer and
songwriter ""thank god we have alok. and i'm learning a thing or two
myself.""--billy porter, emmy award-winning actor, singer, and broadway
theater performer ""beyond the gender binary will give readers everywhere
the feeling that anything is possible within themselves""--princess nokia,
musician and co-founder of the smart girl club ""a fierce, penetrating, and
empowering call for change.""-- kirkus reviews, starred review ""an
affirming, thoughtful read for all ages."" -- school library journal,
starred review in beyond the gender binary, poet, artist, and lgbtqia+
rights advocate alok vaid-menon deconstructs, demystifies, and reimagines
the gender binary. pocket change collective is a series of small books with
big ideas from today's leading activists and artists. in this installment,
beyond the gender binary, alok vaid-menon challenges the world to see
gender not in black and white, but in full color. taking from their own
experiences as a gender-nonconforming artist, they show us that gender is a
malleable and creative form of expression. the only limit is your
imagination.",[],nan,english
9780140501698.0,blueberries for sal,robert mccloskey,"what happens when sal and her mother meet a mother bear and her cub? a
caldecott honor book! kuplink, kuplank, kuplunk! sal and her mother a
picking blueberries to can for the winter. but when sal wanders to the
other side of blueberry hill, she discovers a mama bear preparing for her
own long winter. meanwhile sal's mother is being followed by a small bear
with a big appetite for berries! will each mother go home with the right
little one? with its expressive line drawings and charming story,
blueberries for sal has won readers' hearts since its first publication in
1948. ""the adventures of a little girl and a baby bear while hunting for
blueberries with their mothers one bright summer day. all the color and
flavor of the sea and pine-covered maine countryside.""—school library
journal, starred review.","['daily tasks/activities/routines', 'anxiety/fear', 'repetitive phrases']",nan,english
9781847806062.0,boom baby boom boom,margaret mahy,"when mama tells baby that she' s made a lovely lunch for him, she doesn' t
know that the animals are listening at the window. and they are much
hungrier than baby. while mama bangs on her drums - boom-biddy-boom-biddy-
boom-boom-boom - the yellow cat, the brown dog, the red rooster, the black-
faced sheep and the brown-and-white cow each eats a titbit thrown on the
floor by baby. good baby gets a banana for pudding and, this time, he eats
it all up. boom-biddy-boom-biddy-yum-yum-yum!",['repetitive phrases'],nan,english
9780063098299.0,brayden speaks up,brayden harrington,"available august 10, 2021 -amazon.com.",[],nan,english
9780823443284.0,bright star,yuyi morales,"a pura belpré illustrator honor book winner of the tomás rivera mexican
children’s book award inspiring, reassuring, and beautifully illustrated,
this new story from the creator of the new york times bestseller dreamers
is the perfect gift for every child. a new york times best children’s book
of the year with the combination of powerful, spare language and sumptuous,
complex imagery characteristic of her work, yuyi morales weaves the tale of
a fawn making her way through a landscape that is dangerous, beautiful—and
full of potential. a gentle voice urges her onward, to face her fears and
challenge the obstacles that seek to hold her back. child, you are awake!
you are alive! you are a bright star, inside our hearts. with a voice full
of calm, contemplative wisdom, readers are invited to listen and observe,
to accept themselves—and to dare to shout! in a world full of uncertainty,
bright star seeks to offer reassurance and courage. yuyi morales' first
book since her new york times bestseller dreamers explores the
borderlands—the plants, animals, and insects that make their home in the
desert, and the people who live and travel through this unique and
beautiful part of the world. created with a combination of techniques
including hand-embroidered lettering, painting, sketching, digital
paintings with textures from photographs of the sonoran desert, this
stunning book is full of beauty—from the handwoven blanket of the endpapers
through the last inspiring spread of young families facing their future
with determination and hope. a spanish language edition, lucero, is also
available. a people magazine best kids book of the year a washington post
best children's book of the year an npr 'book we love!' a kirkus reviews
best picture book of the year an alsc notable children's book a ccbc choice
a cbc/ncss notable social studies trade book a csmcl best multicultural
children's book of the year an evanston public library great books for kids
pick!",['anxiety/fear'],"[['multilingual text', 'code-switching'], ['emotions', 'emotional regulation'], ['immigration:immigration'], ['perception:color'], ['perception:texture'], ['perception:motion perception'], ['perception:vision'], ['perception:hearing'], ['imagination:imagination'], ['borders:borders']]","english, spanish"
9781368003544.0,bruce's big move,ryan t. higgins,"after the events of hotel bruce, our favorite curmudgeonly bear shares his
home with not only his four geese, but three rowdy mice besides! fed up
with their shenanigans, bruce sets off to find a rodent-free household. but
as usual, nothing goes quite according to plan. . . a hilarious sequel for
fans of the previous bruce books, as well as a standalone discovery for new
readers, bruce's next reluctant adventure is sure to keep kids giggling.",[],"[['family', 'found'], ['perception:similarity'], ['emotions:emotions'], ['social:friendship'], ['home:home'], ['moving:moving']]",english
9781419758980.0,bubbie and rivka's best ever challah (so far),sarah lynne reul,"bubbie and rivka's new friday tradition is to bake a loaf challah, and
while each week presents a new challenge, they learn that practice makes
progress and persistence makes for some very special together time and
delicious bread.","['perseverance', 'determination']","[['culture', 'foods'], ['family', 'generations', 'time'], ['multilingual text', 'code-switching', 'yiddish'], ['patience:patience'], ['cognition:creative thinking/solutions'], ['language:sound effects'], ['language:word learning'], ['emotions:optimism']]","english, yiddish"
9781250104250.0,calvin,jr and vanessa ford,nan,['anxiety/fear'],"[['racial diversity'], ['ethnic diversity'], ['(dis)ability', 'diversity'], ['emotions', 'emotional regulation'], ['gender', 'identity', 'transition', 'transgender'], ['self-concept'], ['gender:transgender child'], ['culture:identity'], ['social:unconditional love'], ['perception:motion perception'], ['perception:foreground/background'], ['includes additional resources:includes additional resources'], ['acceptance:acceptance'], ['support:support'], ['identity expression:identity expression']]",english
9780064431439.0,caps for sale,esphyr slobodkina,"caps for sale is a timeless classic, in print for over fifty years, and
beloved by generations of readers. this easy-to-read story about a peddler
and a band of mischievous monkeys is filled with warmth, humor, and
simplicity. children will delight in following the peddlers efforts to
outwit the monkeys in this new, enlarged, and redesigned edition, and will
ask to read it again and again.",[],nan,english
9781600605727.0,catching the moon-the story of a young girls baseball dream,crystal hubbard,"the spirited story of marcenia lyle, the african american girl who grew up
to become ""toni stone,"" the first woman to play for an all-male
professional baseball team.",[],nan,nan
9781442450707.0,chicka chicka boom boom,bill martin jr & john archambault,"there is always enough room on your child’s bookshelf for this classic
board book edition of the rollicking alphabet chant that has been a
children’s favorite for over thirty years! a told b, and b told c, “i’ll
meet you at the top of the coconut tree” in this lively alphabet rhyme, all
the letters of the alphabet race each other up the coconut tree. will there
be enough room? oh, no—chicka chicka boom! boom! countless children—and
their parents—can joyfully recite the familiar words of this beloved
alphabet chant. bill martin, jr., and john archambault’s rhythmic text
keeps the beat with caldecott honor illustrator lois ehlert’s bold,
cheerful art. this winning combination has made the chicka chicka series an
enduring classic.",[],"[['language', 'repetition', 'learning the alphabet'], ['cognition', 'cause and effect'], ['language:rhyming'], ['language:upper vs. lowercase letters'], ['language:alliteration'], ['language:adjectives']]",english
9780689832130.0,click clack moo cows that type,doreen cronin,a collection of children's books on the subject of farms.,"['speaking up/standing up for yourself and others', 'critical thinking/problem-solving', 'cooperation/working together']",nan,no language given
9780689707490.0,cloudy with a chance of meatballs,judi barrett,"an imaginative story of amazing food weather that inspired the hit movie,
cloudy with a chance of meatballs is a favorite of grown-ups and children
everywhere. the tiny town of chewandswallow was very much like any other
tiny town—except for its weather which came three times a day, at
breakfast, lunch, and dinner. but it never rained rain and it never snowed
snow and it never blew just wind. it rained things like soup and juice. it
snowed things like mashed potatoes. and sometimes the wind blew in storms
of hamburgers. life for the townspeople was delicious until the weather
took a turn for the worse. the food got larger and larger and so did the
portions. chewandswallow was plagued by damaging floods and storms of huge
food. the town was a mess and the people feared for their lives. something
had to be done, and in a hurry.",[],nan,english
9781536201161.0,counting in dog years and other sassy math poems,betsy franco,"award-winning author betsy franco is back with another performance that
explores a range of math topics--from fractions and time measurements to
geometry and graphs--in a way that relates math to the daily lives of
children.",[],"[['perception', 'gestalt principles', 'similarity'], ['family'], ['language:word play'], ['family:time'], ['culture:identity'], ['math:math'], ['language:descriptive'], ['anthropomorphizing:anthropomorphizing'], ['shapes:shapes'], ['math:numbers']]",english
9780547428932.0,curious george: my favorite things,margret and h. a. rey,george and his beloved teddy go on lots of adventures together.,['daily tasks/activities/routines'],nan,english
9780618605644.0,curious george's first day of school,h. a. rey,"it's the first day of school, and curious george has been invited to mr.
apple's class to be a special helper george is just the right monkey for
the job--until he starts to wreak his usual havoc, that is. red and yellow
paint makes orange, yellow and blue makes green . . . and a mixture of all
the paint colors makes a big mess curious george and the first day of
school is a story based on h. a. and margret rey's popular primate and
painted in the original watercolor and charcoal style. a full-color twenty-
four-page paperback with bonus activities inside, including an ""ants on a
log"" recipe, a word search, and a ""color your world"" craft idea. for more
monkey fun, investigate www.curiousgeorge.com and discover all the latest
on curious george books, promotions, games, activities, and more","['cooperation/working together', 'help others', 'daily tasks/activities/routines']",nan,english
9780316427029.0,daddy & dada,ryan brockington & isaac webster,nan,[],"[['racial diversity'], ['ethnic diversity'], ['(dis)ability', 'diversity'], ['family', 'generations', 'activities', 'parent-child relationships', 'structures'], ['family:sibling relationships'], ['gay marriage:gay marriage'], ['acceptance:acceptance'], ['family:love']]",english
9780810938724.0,dear primo: a letter to my cousin,duncan tonatiuh,"from first-time mexican author and illustrator duncan tonatiuh comes the
story of two cousins, one in america and one in mexico, and how their daily
lives are different yet similar. charlie takes the subway to school;
carlitos rides his bike. charlie plays in fallen leaves; carlitos plays
among the local cacti. dear primo covers the sights, sounds, smells, and
tastes of two very different childhoods, while also emphasizing how alike
charlie and carlitos are at heart. spanish words are scattered among the
english text, providing a wonderful way to introduce the language and
culture of mexico to young children. inspired by the ancient art of the
mixtecs and other cultures of mexico, tonatiuh incorporates their stylized
forms into his own artwork. f&p level: m f&p genre: rf",[],"[['multilingual text', 'spanish and english', 'code-switching'], ['language:word learning'], ['language:visual/contextual word learning']]","spanish, english"
9780062396983.0,"dim sum,here we come",maple lam,nan,[],"[['culture', 'customs', 'foods'], ['family', 'activities', 'time', 'traditions'], ['social', 'sharing', 'taking turns'], ['meaning'], ['manners:manners'], ['patience:patience']]",nan
9781454916147.0,do your ears hang low?,jenny cooper,"animals act out the lyrics to the humorous children's song and ask readers
to look at their ears on the mirrored last page. includes brief factual
information about ears.",[],"[['rhythm'], ['contrast'], ['language:rhyming'], ['perception:texture'], ['emotions:emotions'], ['perception:motion'], ['includes additional resources:includes additional resources']]",no language given
9781984813022.0,don't hug doug (he doesn't like it),carrie finison,"meet doug, an ordinary kid who doesn't like hugs, in this fun and exuberant
story which aims to spark discussions about bodily autonomy and
consent—from author carrie finison and the #1 new york times bestselling
illustrator of the world needs more purple people, daniel wiseman. doug
doesn't like hugs. he thinks hugs are too squeezy, too squashy, too
squooshy, too smooshy. he doesn't like hello hugs or goodbye hugs, game-
winning home run hugs or dropped ice cream cone hugs, and he definitely
doesn't like birthday hugs. he'd much rather give a high five--or a low
five, a side five, a double five, or a spinny five. yup, some people love
hugs; other people don't. so how can you tell if someone likes hugs or not?
there's only one way to find out: ask! because everybody gets to decide for
themselves whether they want a hug or not.",[],"[['body', 'bodily autonomy', 'consent'], ['different:individual differences'], ['personal space:personal space'], ['language:rhyming']]",english
9781433837067.0,don't hug the quokka,daniel errico,"that quokka may be cute, but you can't hug it unless it says it's ok!",[],"[['body', 'bodily autonomy', 'consent', 'language', 'gestures'], ['social:multiple types of communication'], ['parental guide:parental guide']]",english
9780399173141.0,dream snow,eric carle,"this board book edition of eric carle's classic christmas book is perfect
for holiday gift-giving and stocking stuffing! it's december 24th, and the
old farmer settles down for a winter's nap, wondering how christmas can
come when there is no snow! in his dream he imagines a snowstorm covering
him and his animals—named one, two, three, four and five—in a snowy
blanket. but when the farmer awakens, he finds that it has really snowed
outside, and now he remembers something! putting on his red suit, he goes
outside and places gifts under the tree for his animals, bringing holiday
cheer to all. clever lift-the-flaps reveal the animals hidden under the
snow in the farmer's dream, making this board book edition a treat for all
ages. praise for dream snow: ""few in number are the parents who have made
it through their toddler's years on just one copy of carle's the very
hungry caterpillar. dream snow has similar ingredients: a simple story,
lively collage-like illustrations and a fun gimmick for little hands . . .""
—time",[],"[['language', 'word object associations'], ['naming:naming'], ['matching:matching']]",english 
9780823440559.0,dreamers,yuyi morales,"we are resilience. we are hope. we are dreamers. yuyi morales brought her
hopes, her passion, her strength, and her stories with her, when she came
to the united states in 1994 with her infant son. she left behind nearly
everything she owned, but she didn't come empty-handed. from the author-
illustrator of bright star, dreamers is a celebration of making your home
with the things you always carry: your resilience, your dreams, your hopes
and history. it's the story of finding your way in a new place, of
navigating an unfamiliar world and finding the best parts of it. in dark
times, it's a promise that you can make better tomorrows. this lovingly-
illustrated picture book memoir looks at the myriad gifts migrantes bring
with them when they leave their homes. it's a story about family. and it's
a story to remind us that we are all dreamers, bringing our own strengths
wherever we roam. beautiful and powerful at any time but given particular
urgency as the status of our own dreamers becomes uncertain, this is a
story that is both topical and timeless. the lyrical text is complemented
by sumptuously detailed illustrations, rich in symbolism. also included are
a brief autobiographical essay about yuyi's own experience, a list of books
that inspired her (and still do), and a description of the beautiful
images, textures, and mementos she used to create this book. a parallel
spanish-language edition, soñadores, is also available. winner of the pura
belpré illustrator award! a new york times / new york public library best
illustrated book a new york times bestseller recipient of the flora
stieglitz strauss award a 2019 boston globe - horn book honor recipient an
anna dewdney read together honor book named a best book of 2018 by kirkus
reviews, publishers weekly, school library journal, shelf awareness, npr,
the boston globe, the chicago tribune, salon.com-- and many more! a junior
library guild selection a eureka! nonfiction honoree a bulletin of the
center for children's books blue ribbon title a bank street best children's
book of the year a cla notable children's book in language arts selected
for the cbc champions of change showcase",[],"[['culture'], ['storytelling'], ['immigration:immigration'], ['challenges in a new place:challenges in a new place'], ['power of knowledge/books:power of knowledge/books'], ['resilience:resilience'], ['language:word learning'], ['library:library']]","english, spanish"
9780307982933.0,duck and goose: goose needs a hug,tad hills,"celebrate love and friendship with the new york times–bestselling feathered
friends duck & goose in this sturdy board book, perfect for preschoolers!
now an animated series, available to stream on apple tv+! goose is feeling
sad. what does he need to cheer him up? he doesn't need a game of tag. or
to stand on his head. or a happy song. what he really, really needs... is a
hug from a good friend. praise for the duck & goose series: “duck and goose
have taken their places alongside frog and toad and george and martha as
fine examples of friendship, curiosity and problem-solving.” —kirkus
reviews “charming, funny, simple, and surprising. . . hills is master of
the light comic touch.” —the boston globe",[],nan,english
9780439627924.0,ella the elegant elephant,carmela & steven d'amico,"ella is nervous about the first day of school in her new town, but wearing
her grandmother's good luck hat makes her feel better--until the other
students tease her and call her names.","['anxiety/fear', 'help others']","[['social', 'withdrawn rejected child category'], ['self-expression'], ['starting at a new school:starting at a new school'], ['social:making friends'], ['social:bullying'], ['self:being yourself'], ['personal style:personal style'], ['social:finding your place']]",english
