Title,Author,Language(s),Classes Where this could be useful,Topics Covered,Comments,class activity ideas,,
Calvin,JR and Vanessa Ford,English,"Developmental, Psychology of Gender, Perception","Transgender child, self-concept, identity, unconditional love, anxiety/fear, emotional regulation, motion perception, foreground/background, child's transgender transition, includes additional resources, diversity (racial/ethnic, (dis)ability), acceptance,support, gender identity, identity expression",,,,
Caps For Sale,Esphyr Slobodkina,English,,0,,,,
catching the moon-the story of a young girls baseball dream,crystal hubbard,,,0,,,,
Chicka Chicka Boom Boom,Bill Martin Jr & John Archambault,English,,"language (learning the alphabet, rhyming, upper vs. lowercase letters, alliteration, adjectives, repetition), cause and effect ",,,,
click clack moo cows that type,doreen cronin,,,"anthropomorphizing, animal sounds, humor, speaking up/standing up for yourself and others, anger, frustration, critical thinking/problem solving, cooperation/working together, creative thinking/solutions, cause and effect",,,,
Cloudy With a Chance of Meatballs,Judi Barrett,English,,0,,,,
counting in dog years and other sassy math poems,betsy franco,English,,"word play, time, Gestalt principles (similarity), identity, math, descriptive, anthropomorphizing, shapes, family, numbers",,,,
Curious George: My favorite things,Margret and H. A. Rey,English,,"daily tasks/activities/routines, rhyming",,,,
Curious George's First Day of School,H. A. Rey,English,,"Cooperation/working together, help others, cause and effect, challenges in a new place, daily tasks/activities/routines, empathy, curiosity, sadness, first day of school, it's okay to make mistakes, starting school, taking care of shared space",,,,
Daddy & Dada,Ryan Brockington & Isaac Webster,English,Developmental,"Family activities, family structures, parent-child relationships, sibling relationships, family generations, diversity (racial/ethnic, (dis)ability), gay marriage, acceptance,love",,,,
dear primo: a letter to my cousin,duncan tonatiuh,"Spanish, English",Psycholinguistics,"word learning, code-switching, multilingual text (Spanish and English), visual/contextual word learning",,,,
"Dim sum, here we come",Maple Lam,"English, Chinese","Developmental, Intro Psych","Family activities, family traditions, family time, culture (customs, food) meaning, manners, patience, social (taking turns, sharing)",,,,
Do your ears hang low?,Jenny Cooper,,,"Rhyming, rhythm, texture, emotions, motion, contrast, self image, includes additional resources",,,,
Don't hug Doug (he doesn't like it),Carrie Finison,English,,"Consent/bodily autonomy, individual differences, personal space, rhyming",,,,
Don't hug the quokka,Daniel Errico,English,"Adolescence, Education classes","Consent/bodily autonomy, body language, multiple types of communication, parental guide",,,,
Dream snow,Eric Carle,English ,Psycholinguistics,"Naming, word-object associations, matching",,"could be interesting as part of discussion on mutual exclusivity assumption (learning that you can label something as an animal, horse, name [one])",,
Dreamers,Yuyi Morales,"English, Spanish",,"culture, immigration, challenges in a new place, power of knowledge/books,  storytelling, resilience, word learning, library",,,,
Duck and goose: Goose needs a hug,Tad Hills,English,"Developmental, Perception","Emotions, listening, texture gradient, foreground/background",,,,
Ella the elegant elephant,Carmela & Steven D'amico,English,Developmental,"starting at a new school, anxiety/fear, making friends, bullying, being yourself, withdrawn-rejected child category, help others, personal style, self-expression, finding your place",,,,
"Ernest, the moose who doesn't fit",Catherine Rayner,English,,"Imagination, determination, silly sounds, humor, object permanence, creative thinking/solutions",,,,
every last bubble must pop,jason carter eaton,English,,"Motion perception, adventure,verbs, determination, time, bigger/better/faster, friendship, critical thinking/problem-solving, motion perception/pictures/descriptors, different modes of transportation, changing light, loneliness, persistence, curiosity, resilience, communication",,,,
Everybody cooks rice,Norah Dooley,English,,"culture, culture (food, similarities, differences, word learning, text heavy",,,,
Eyes that kiss in the corners,Joanna Ho,English,,"Descriptive language, diversity, identity, family, family generations, motion, culture, Gestalt principles, texture gradient, relative size, cultural identity, cultural history, self-acceptance/appreciation, love, family relationships, repetition, imagination, self-love, outer beauty",,,,
Fancy Nancy,Jane O'Connor,English,,"Self-concept, identity, motion perception, daily tasks/activities/routines, love, language development, embarrassment, self-identity, younger kids' sense of self is first based on physical characteristics, family support, personal style, uniqueness, developing a positive self-concept, self-expression, sophisticated vocabulary, socialization, developing positive relationships with others, creativity, kindness, being yourself family activities, family caring for each other, parent-child relationships, family time, word learning, repetition self-confidence, self-love, egocentrism, preoperational stage?",Could this be useful for thinking about Piaget's preoperational stage?,,,
Fighting For Yes,Maryann Cocca-Leffler,English,,"Determination, advocacy, critical thinking/problem-solving, cooperation/working together, discrimination, community support, text heavy, Americans With Disabilities Act",,,,
Firebird,Misty Copeland,English,"Perception, Psycholinguistics, Developmental","motion perception, self-confidence, similes,time, practice, diversity, self acceptance/appreciation",,,,
flash and gleam - light in our world,sue fliess,English,,"rhyming, different types of light, diversity, holidays, science behind light, relative size, Gestalt principles, we're different but the same, light and celebration, emotion regulation, teaches children to find ways to shine during difficult times, resilience, persistence, positive psychology, bringing joy and light to the world, gratitude, optimism ",,create your own page to add to the book,,
Flyaway Katie,Polly Dunbar,English,,0,,,,
Fred gets dressed,Peter Brown,English,"Developmental, Psychology of Gender","Gender (norms, expression), acceptance,family, support, self (acceptance/appreciation, being yourself, confidence, expression, personal style)",,,,
Frog and Toad Together,Arnold Lobel,English,"Developmental, Education/literacy classes","Friendship, daily tasks/activities/routines, getting organized, routine fixedness/adaptability, patience, growing cycle, inhibition, anxiety/fear, self-concept, comparison, I CAN READ book, help others, showing love without using words, sharing, cooking, food, executive function, critical thinking/problem solving, bravery, love",,,,
Fuddles and Puddles,Frans Vischer,English,Developmental,"Friendship, new relationships, new siblings",,,,
"Glad, Glad Bear!",Kimberly Gee,English,"Developmental, Psychology of Gender","Gender roles, gender specific activities",,,,
Goodnight Bubbala,Sheryl Haft,"English, Yiddish",Psycholinguistics,"code-switching, parody, word learning, multilingual text (Yiddish) cultural foods, cultural traditions",,,,
Goodnight Moon,Margaret Wise Brown,English,,"rhyming, repetitive phrases",,,,
"Grace Banker and her hello girls, answer the call",Claudia Friddell,English,Psychology of Gender,"Female empowerment, text heavy",,,,
grandmas records,eric velasquez,,,0,,,,
hair love,matthew a. cherry,English,"Developmental, Social, Psychology of Gender, Multicultural","Identity, self acceptance/appreciation, racial style, breaking norms, persistence, family",,,,
Hanukkah Hop!,Erica Silverman,English,,0,,,,
Happy in our skin,Fran Manushkin,English,"Developmental, Perception","diversity, self-love, function of the skin",,could be nice to bring in when we do the skin senses lecture,,
Hark! A Vagrant,Kate Beaton,English,,0,,,,
Harold and the Purple Crayon,Crockett Johnson,English,Perception,"Creative thinking/solutions, adventure,adjectives, daily tasks/activities/routines, relative size, texture gradient, creativity, internal motivation to learn, critical thinking/problem solving, anxiety/fear, creativity, executive function, imagination, making decisions, reasoning and decision making skills, use of color",,,,
Hero dad,Melinda Hardin,English,Developmental,"Military, military families, heroism, family structures",,,,
Ho'onani Hula Warrior,Heather Gale,"English, Hawaiian","Developmental, Adolescence, Psychology of Gender; Cross-cultural/multicultural psychology","Gender (binary, norms, understanding the gender spectrum), language (alliteration, rhyming, development), culture (Hawaiian traditions, sense of), family relationships, support, self (confidence, concept) spotlight effect, code-switching, sociocultural differences",,,,
honk honk goose,april pulley sayre,English,,"sound effects, numbers, parents protecting children, teaching children animal sounds",,,,
How Do Dinosaurs Learn to Read? ,Jane Yolen & Mark Teague,English,"Psycholinguistics, Developmental, Perception","language (rhyming, word search, alphabet, learning the alphabet, glossary/pronunciation guide), emotions (recognition of, managing of, anger), perception (motion perception, visual attention), cognition (deeper processing, cause and effect), encouragement to reread, determination, anthropomorphizing, inspiring children/students, patience, perseverance",,,,
how do dinosaurs say happy birthday?,jane yolen & mark teague,,,"Celebration, birthday, rhyming, anthropomorphizing, selfishness, manners, kindness, sharing, tutorial on manners, help others",,,,
How Much Is A Million?,David M. Schwartz,English,"Psycholinguistics, Perception","Number concepts, relative size, descriptive language, Gestalt principles, motion perception, time, alliteration, large number comprehension",,,,
How we say I love you,Nicole Chen,"Mandarin Chinese, Taiwanese Hokkien, English","Psycholinguistics, Developmental","Family, word learning, love languages, respect for elders, cultural values, code-switching, showing love without using words, cultural customs, how different cultures say I love you, multilingual text (Mandarin Chinese, Taiwanese Hokkien, and English), cultural values ",,"Could bring in on the day we discussed parenting styles to discuss different ways of showing warmth/action besides physical things like hugs or saying ""I love you""",,
Hundred years of happiness,Thanhha Lai,"English, Vietnamese","Intro Psych, Perception","family, culture, memory, memory loss, continuity, similarity, aging, word learning, family generations, family caring for each other",,could be an interesting supplement to memory/forgetting unit,,
I am golden,Eva Chen,English,"Developmental, Multicultural","cultural heritage, embracing differences, self-concept, identity, names have meaning, immigration, family history, isolation, resilience, perseverance, celebration, food, multiculturalism",,,,
I am living in 2 homes,Garcelle Beauvais and Sebastian A. Jones,English,,"divorce, family structures, family relationships,  family caring for each other, family time, family activities, love, emotions (regulation of, anxiety/fear) talking about difficult topics, rhyming",,,,
I Am Not A Label,Cerrie Burnell,,,0,,,,
I Am Ruby Bridges,Ruby Bridges,English,,"Race, racism, bridging the gap between races, pride, not wanting to hurt other people's feelings, being first, dream big/following dreams",,,,
I am stronger than anxiety,Elizabeth Cole,English,"Intro psych, developmental","emotions (anxiety/fear, managing of) rhyming, motion",,,,
i can fly,ruth krauss,,,"rhyming, animal sounds, self acceptance/appreciation, being yourself",,,,
i hear a pickle,rachel isadora,,,0,,,,
I like myself,Karen Beaumont,English,"Developmental, Intro Psych, Perception, Psycholinguistics","Self-esteem, self acceptance/appreciation, uniqueness, identity, rhyming, motion perception, reminiscent of Dr. Seuss",,,,
i scream ice cream,amy krouse rosenthal,English,,"language (word play, word segmentation), emotions (regulation of, managing of, empathy), delayed gratification, patience, social skills, communication, cooperation/working together, conflict, resolution
",,Could pair with discussion of misheard song lyrics,,
I want my hat back,Jon Klassen,English,,"taking turns, manners, help others, persistence, elaboration, memory",,,,
I'm gonna climb a mountain in my patent leather shoes,Marilyn Singer,English,,"different environments, family activities, family time, self-expression, rhyming, leaving comfort zone, self-confidence, female empowerment, sibling relationships, imagination, self confidence, different enviroments",,,,
I'm hungry Tengo Hambre,Angela Dominguez,"Spanish, English","Psycholinguistics, Developmental","Word learning, picky eater, friendship, help others, multilingual text (Spanish and English), making decisions",,,,
"I'm not scared, you're scared",Seth Myers,English,"Developmental, Intro Psych","anxiety/fear, bravery, friendship",,,,
If you give a mouse a cookie,Laura Numeroff,English,,"Cause and effect, motion perception, help others, Not finishing what you start, learning to stand up for yourself/say no, ADHD?, Daily tasks/activities/routines",,,,
If You Give A Pig A Pancake,Laura Numeroff,English,,"Cause and effect, motion perception, help others, not finishing what you start, speaking up/standing up for yourself and others, learning to say no, ADHD",,,,
If you're hoppy,april pulley sayre,English ,"Psycholinguistics, Developmental ","rhyming, categories, adjectives",,could have students come up with their own category/verse,,
imani's moon,janay brown-wood,"English, Maasai","Psycholinguistics, Developmental, Perception","bullying, storytelling, parent-child relationships, word learning, bravery, determination, perseverance, dream big/following dreams, creative thinking/solutions, celebration, cultural customs, self-confidence, perception (motion perception, Gestalt principles, proximity), sound effects, word learning, code-switching",,,,
Is There Really a Human Race?,Jamie Lee Curtis,English,"Psycholinguistics, Perception","language (literal vs. figurative language, rhyming), perception (motion perception, visual attention), competition or having fun?, understanding your place, search strategies, help others",,,,
Isabel and her colores go to school,Alexandra Alessandri,"Spanish, English","Developmental, Intro Psych, Psycholinguistics","First day of school, language (word learning, similes, metaphors, glossary/pronunciation guide), communication, colors, friendship, anxiety/fear, multilingual text (Spanish and English), code-switching, belonging, making friends, sadness, creativity, resilience, finding your place",,,,
Islandborn,Junot Díaz,"English, Spanish",,"Cultural identity, perception (motion perception, Gestalt principles, similarity, proximity, grouping, light/lighting), similes, good vs. evil, code-switching, interesting mix of words and pictures",,,,
It's Diwali,Kabir Sehgal & Surishtha Sehgal,"English, Hindi","Developmental, Psycholinguistics","Diwali, holidays, similarity, color, culture, word learning, counting, rhyming",,,,
Jacob's New Dress,Sarah & Ian Hoffman,English,"Developmental, Psychology of Gender","Gender identity, sex roles, gender nonconformity, self-expression, bullying, imagination, different ways to be a boy, friendship, pride",,,,
Jazz baby,Lisa Wheeler,English ,,"Rhyming, imitating instrument sounds, repetition, silly sounds",,,,
Julián is a Mermaid,Jessica Love,"English, Spanish",,"gender roles, gender expression, motion perception, identity, self-expression, pictures without words, acceptance,being yourself, code-switching",,,,
Just in case,Yuyi Morales,"English, Spanish",,"friendship, language (phonemes, alphabet, repetitive phrases, word learning) visual attention",,,,
Keepunumuk: Weeachumun's Thanksgiving story,"Danielle Greendeer, Anthony Perry and Alexis Bunten","English, Wopanaak",,"culture, help others, colonization, caring for the environment, word learning, oral storytelling, First Nation, first Thanksgiving",,,,
Knight Owl,Christopher Denise,English,,"dream big/following dreams, playing to your strengths, friendship, creative thinking/solutions, determination, anxiety/fear, bravery",,,,
Knock knock,Tammi Sauer,English,Psycholinguistics,"knock knock jokes, word play, friendship",,,,
la princesa and the pea,susan middleton elya,"Spanish, English",Psycholinguistics,"word learning, code-switching, multilingual text (Spanish and English), glossary/pronunciation guide, rhyming, fairy tales",,,,
Let me call you sweetheart,Mary Lee Donovan,English,,"Family, love, affection, rhyming, food, motion, birds, multilingual text (code-switching)",,,,
Let's Play Monsters!,Lucy Cousins,English,,0,,,,
little blue truck,alice schertle,,,"rhyming, sound effects, teaching children animal sounds, kindness, bullying, cause and effect,  anxiety/fear, manners, help others, cooperation/working together, friendship",,,,
Little messy Marcy Su,Cherie Fu,"English, Mandarin ",Psycholinguistics ,"language (rhyming, word learning, language development, semantic development), executive function, inhibition, multilingual text (Mandarin Chinese tones with comparable English examples, code-switching), responsibility",,,,
Little roja riding hood,susan middleton elya,"Spanish, English","Psycholinguistics, Developmental","word learning, code-switching, multilingual text (Spanish and English), glossary/pronunciation guide, rhyming, fairy tales, telenovela cultural aspect, religious references, cognitive development, reasoning and decision-making skills",,,,
lola goes to school,anna mc quinn,,,0,,,,
look,fiona woodcock,English,,"creative thinking/solutions, spelling, almost every word has 2 'oo's, useful for speech pathologist, helpful for teaching spelling",,"come up with additional words you could add to the book (e.g., school, spool could have have spools of thread)",,
Loud Mouse,Cara Mentzel & Idina Menzel,English,,"empowerment, finding your voice, change, leaving comfort zone, adjectives, motion, color, similes, being different, puberty, self-confidence, anxiety/fear",,,,
Love made me more,Colleen Rowan Kosinski,English,,"Growing up, change, major life events, transitions, multiple generations, relationship changes with time",,,,
Love You Forever,Robert Munsch,English,,"Parent-child relationship, Eriksen's theory of psychosocial development, growth, change, childhood, adulthood, puberty, stages of life",haven't completed finished adding themes for this book,,,
Maiden & Princess,Daniel Haack & Isabel Galupo,English,,"sexual attraction spectrum, acceptance,support, gender (breaking the binary, norms, roles), love, gay marriage, sex roles, sex typing, rhyming, identity",,,,
Maybe Something Beautiful,Isabel Campoy and Theresa Howell,English,,0,,,,
Me and my fear,Francesca Sanna,,,"anxiety/fear, realizing others have fear, everybody has anxiety just different levels, enviroment's impact on anxiety/fear, healthy/unhealthy anxiety ",,,,
"Minnies Diner, a multiplying menu",Dayle Anne Dodds,English ,Psycholinguistics ,"word play, rhyming, math (basic math, doubling), daily tasks/activities/routines, lots of rhyming",,,,
music class today,david weinstone,English,,"rhyming, motion, shy child, breast feeding, individual differences",,,,
My family's changing,Pat Thomas,English,Developmental,"Divorce, emotions (sadness, anger), confusion, love, change, transitions, help others, family structures",,,,
My Friend Maggie,Hannah E. Harrison,English,Developmental Psychology,"Friendship, bullying, peer groups/cliques",,,,
My Hair Is Poofy & That's Okay,Nikkolas Smith,English,,Diversity,,,,
My name is Yoon,Helen Recorvits,,"Developmental, Social, Multicultural, Psycholinguistics, Education classes","Culture (differences), language (differences, alphabet, meaning, word learning), immigration, leaving comfort zone, starting at a new school, imagination, creativity, familial pride, names have meaning, friendship",,,,
my pet feet,josh funk & billy yong,English,Psycholinguistics,"word play, disappearing 'R', phonemes, language impairments",,Could include with a discussion of specific language impairment (use examples from the book to help students think about separating phonemes),,
my storee,paul russell and aska,,,"dyslexia, power of imagination, impacts of education on imagination, uniqueness, acceptance in the world of education, understanding ",,,,
My Town Mi Pueblo,Nicholas Solis,"Spanish, English",Developmental,"Similarities/differences, word learning, family, community, borders, culture (customs, identity, illustrations represent different cultures, similarities, differences, how cultural heritage influences our sense of self, competence), multilingual text (Spanish and English), different types of houses, social identity, different ranges of emotion, social connection, awareness, knowledge, skills, navigating and and engaging with different cultural groups",,,,
Nana Loves You More,Jimmy Fallon,English,,0,,,,
Nell plants a tree,Anne Wynter,English,Developmental,"Actions and consequences, motion, light/lighting, growth, time, generations, activities, rituals/traditions, family",,,,
no more por favor,susan middleton elya,"Spanish, English",,"Multilingual text (Spanish and English), language (glossary/pronunciation guide, rhyming, word learning), picky eaters ",,,,
"No, David!",David Shannon,English,"Psycholinguistics, Developmental","minimal but repetitive text, have to use pictures to decipher meaning, behavior and consequences, parent-child relationship, self acceptance, authoritarian parenting, insecure attachment, parenting styles, types of attachment ",,,,
Nosotros Means (A bilingual Story),Paloma Valdivia,"Spanish, English","Psycholinguistics, Developmental","word learning, parent-child relationships, seasons, time, growing up, change, multilingual text (Spanish and English, parent-child relationships in various species",,,,
Not All Sheep Are Boring,Bobby Moynihan,English,Social Psychology,"Challenging stereotypes, embracing differences",,,,
"Oh, the Places You'll Go!",Dr. Seuss,English,,0,,,,
Old Friends,Margaret Aitken,English,,0,,,,
Once I was very very scared,Chandra Ghosh Ippen,,,"communication, comfort",,,,
One red sock,Jennifer Sattler,English,,"rhyming, colors, creative thinking/solutions, perseverance, worrying what others will think, perfectionism, frustration, sometimes imperfect is just right",,,,
Our Skin! A first conversation about race,"Megan Madison, Jessica Ralli, & Isabel Roxas",English,"Developmental Psychology, Adolescence, Social Psychology","Race, racism, talking about difficult topics",,,,
Owl Babies,Martin Waddell,English,Developmental Psychology,Separation anxiety,,,,
"Patients, Patches",Christy Mihaly,English,Developmental Psychology,"Patience, family, routines, different types of family, different perspectives, new baby, breast-feeding, stages of consciousness, siblings, motion, growth",,,,
penguin cha cha,kristi valiant,,,0,,,,
Pink Is for Boys,Robb Pearlman,English,"Developmental Psychology, Perception","gender (norms, breaking norms, expectations, roles, use of colors to illustrate gender norms), perception (motion perception, Gestalt principles, similarity, proximity, common region, figure-ground segregation), diversity, sex-typing",,,,
Play this Book,"Jessica Young, Daniel Wiseman",English,Psycholinguistics,"Consent/bodily autonomy, body language/gestures, multiple types of communication, parental guide",,,,
"Polar bear, polar bear what do you hear",Bill Martin Jr and Eric Carle,English,,0,,,,
Prince & Knight,Daniel Haack & Stevie Lewis,English,"Developmental, Psychology of Gender, Intro Psych","rhyming, sex roles, sex-typing, sexual attraction spectrum, anxiety/fear, bravery, gender (norms, roles), heroism, identity, critical thinking/problem solving, love, support, acceptance, gay marriage",,,,
Ready to fly,Lea Lyon and A. LaFaye,English,"Perception, Social Psychology","Motion perception, determination, never giving up, creative thinking/solutions, racism, perseverance, working hard to achieve goals/dreams",,,,
Red: a crayon's story,Michael Hall,English,Developmental,"Being different, labels, self acceptance/appreciation, identity, autism?, different perspectives",,,,
Remember,Joy Harjo,English,Perception,"Use of color, generations, connection to family, caring for the environment; interconnected habitat, cultural memory, Indigenous Nations' cultures",,,,
Remixed: A blended family,Arree Chung,English,Developmental,"different types of family, family interactions, family activities, family dynamics, divorce, anxiety/fear, blended families, confusing at times",,,,
Rosa's song,Helena Ku Rhee,English,"Developmental, Intro Psych, Social psych","Immigration, emotions (homesickness, loneliness, sadness), imagination, motion perception, shadow, cultural differences, word learning, social (finding your place, kindness making friends, friendship, love, giving/sharing, connection)",,,,
Seven ate nine,Tara Lazar,,"Developmental, Intro Psych","process of solving a mystery, critical thinking/problem-solving, identity crisis, sense of self, self-perception",,,,
Skater Cielo,Rachel Katstaller,English,,"Skateboarding, frustration, anxiety/fear, changing perspective, friendship, determination, practice, glossary/pronunciation guide, makes more sense to somebody who knows skateboarding",,,,
Some bodies,Sophie Kennen,English,"Developmental, Intro Psych","Body shapes and sizes, skin tone, uniqueness, diversity, rhyming, body image, individual differences",,,,
Sparkle Boy,Lesléa Newman,English,"Developmental, Psychology of Gender","Gender roles, Gestalt principles (similarity), acceptance,bullying, gender constancy, sibling relationships, family relationships",,,,
"Special people, special ways",Arlene Maguire,,Social psychology,"Different physical and mental (dis)abilities, tolerance, similarities/differences, sign language alphabet, children in wheelchairs, children with hearing aids, service animals, majority of characters are white, individual differences, mental disabilities, physical disabilities ",,,,
Splat,Jon Burgerman,,Perception,"Similarity, common region, humor, creativity, imagination,bold colors ",,,,
Stella brings the family,Miriam B. Schiffer,English,Developmental,"Different types of families, holiday celebrations, creative thinking/solutions, identity expression, we're different but the same, positive reinforcement, promotes diversity",,,,
Strega Nona,Tomie de Paola,"English, Italian ",,"Following directions, actions and consequences",,,,
Strega Nona: her story,Tomie dePaola,"English, Italian",,"help others, sharing knowledge, word learning, friendship, honoring elders, honoring traditions, self-acceptance",,,,
Talking is not my thing,Rose Robbins,,,"Family, theory of mind, communication difficulties, autism, nonverbal child and family, adaptation, support, understanding",,,,
Tallulah's Tutu,Marilyn Singer ,English,,"Identity, different ways to be a boy, gender (norms, roles, stereotypes, breaking norms, specific activities) self-confidence, perseverance, practice, dream big/following dreams",,,,
Tea rex,molly idle,English,,"word play, social routines, relative size, sociocultural perspective, development, tutorial on manners, acceptance,sociocultural expectations",,,,
That Flag,Tameeka Fryer Brown,English ,"Developmental, Social","Race, racism, talking about difficult topics, friendship, peer relationships, conflict, what brings friends together and separates them, social identity theory,
different perspectives",,,,
That's not my name,Anoosha Syed,English,,"starting school, speaking up/standing up for yourself and others, different isn't bad or wrong, pride, pride in culture, pride in name, names have meaning, diversity, inclusivity, identity, belonging, friendship, uniqueness, empathy",,,,
that's not my penguin,fiona watt,English,Perception,"Texture, comparison",,,,
The 1619 Project Born on the Water,Nikole Hannah-Jones and Renee Watson,English,"Perception, Social","Culture (heritage, history), slavery, talking about difficult topics, motion, resilience, legacy, family history",,,,
The Alphabet from AAARGH! to ZZZZZZZ,Adam B. Ford,English,Psycholinguistics,"rhyming, minimal pairs, sounds vs. spelling, silly sounds",,,,
the berenstein bears stand up to bullying,Jan and Mike Berenstain,,,"bullying, anxiety/fear, speaking up/standing up for yourself and others, help others, empathy, religious references, storytelling",,,,
The Berenstein Bears All Aboard!,Jan and Mike Berenstain,English,,0,,,,
The book with no pictures,B.J. Novak,English,,"repetition, silly sounds, humor",,,,
The Cat In The Hat,Dr. Seuss,English,Psycholinguistics,"rhyming, boredom, learning to say no, learning to stand up for yourself, help others, anthropomorphizing, cause and effect, anxiety/fear, critical thinking/problem solving, repetition",,,,
