ISBN,Title,Author,Description,Unformatted Tags,Formatted Tags
9781534111134,A teacher like you,Frank Murphy & Barbara Dan,"Teachers have the power to change the life of a child with every new school
day. Whether they're discovering math or reading, practicing a new
instrument or a new sport, or learning about our wonderful, diverse world,
students can count on the kindness, innovation, and patience of a teacher.
This is a wonderful celebration of all the ways teachers help their
student's bloom.",[],"[['racial diversity'], ['religious diversity'], ['(dis)ability', 'diversity'], ['different:embracing differences'], ['social:kindness'], ['inspiring children/students:inspiring children/students'], [""teachers’ impact on students' lives:teachers’ impact on students' lives""]]"
9781623542658,Abuelita and I make flan,Adrianna Hernandez Bergstrum,,['critical thinking/problem-solving'],"[['multilingual text', 'Spanish and English', 'code-switching'], ['family'], ['language', 'glossary', 'pronunciation guide'], ['language:word learning'], ['social:unconditional love']]"
9781416975762,Abuelita's Heart,Amy Córdova,"Before returning to the city with her parents, a young girl walks with her
grandmother, learning about the special feelings, places, and plants that
are part of her heritage and the Southwestern desert where Abuelita lives.",[],"[['multilingual text', 'Spanish and English', 'code-switching'], ['language:word learning']]"
9781442498167,"Alexander and the Terrible,Horrible,No Good,Very Bad Day",Judith Viorst,"From children’s book legend Judith Viorst comes the perennially popular
tale of Alexander’s worst day. Alexander and the Terrible, Horrible, No
Good, Very Bad Day is a story that belongs on every child’s bookshelf.
Alexander could tell it was going to be a terrible, horrible, no good, very
bad day. He went to sleep with gum in his mouth and woke up with gum in his
hair. When he got out of bed, he tripped over his skateboard and by mistake
dropped his sweater in the sink while the water was running. He could tell
it was going to be a terrible, horrible, no good, very bad day. It was a
terrible, horrible, no good, very bad day. Nothing at all was right.
Everything went wrong, right down to lima beans for supper and kissing on
TV. What do you do on a day like that? Well, you may think about going to
Australia. You may also be glad to find that some days are like that for
other people too.","['daily tasks/activities/routines', 'repetitive phrases']","[['emotions', 'emotional regulation', 'managing emotions'], ['family', 'dynamics', 'interactions'], ['conflict:Conflict'], ['emotions:anger'], ['emotions:frustration'], ['selfishness:selfishness'], ['family:sibling relationships']]"
9780593429983,All are neighbors,Alexandra Penfold,,['repetitive phrases'],"[['(dis)ability', 'diversity'], ['community'], [''], ['language:rhyming'], ['community:community'], ['(dis)ability:diversity'], ['taking care of shared space:taking care of shared space'], ['social:taking care of people'], ['language:repetition'], ['social:inclusivity'], ['language:alternative rhyme scheme'], ['community support:community support'], ['social:belonging'], ['social:kindness'], ['home:home']]"
9781433819179,All my stripes,Shaina Rudolph and Danielle Royer,"Zane rushes home to tell his mother about problems he faced during his
school day, and she reminds him that while others may only see his ""autism
stripe,"" he has stripes for honesty, caring, and much more.",['anxiety/fear'],"[['(dis)ability', 'autism'], ['socio communicative challenges'], ['family', 'parent-child relationships'], ['self-acceptance'], ['self-concept'], ['self-love'], ['perception:color'], ['(dis)ability:(dis)ability'], ['perception:motion'], ['culture:pride'], ['different:being different'], ['sensory processing challenges:sensory processing challenges'], ['literal and concrete thinking style:literal and concrete thinking style'], ['individual strengths:individual strengths'], ['emotions:sadness'], ['culture:identity']]"
9780593465516,"Always with you,always with me",Kelly Rowland and Jessica McKay,"An instant New York Times bestseller! A loving ode to modern motherhood by
Kelly Rowland and Jessica McKay. Grammy Award–winning artist Kelly Rowland
and educator Jessica McKay have crafted a lyrical celebration of working
moms everywhere and a soothing story for their children. As a mother gets
ready to go to work, first she works on building the world for her child.
Because it can sometimes be hard to be separated during the day, Mom
collects some simple words that she and her child can repeat whenever they
are missing each other or feeling overwhelmed: Always with you, always with
me, mommy and child, together we'll be. For any child who needs a little
reassurance or just to share a sweet gesture of affection, Always with You,
Always with Me is a loving tribute to families that honors the work a
mother does both inside and outside of the home.",['repetitive phrases'],"[['family', 'love', 'extended'], ['women in nontraditional jobs'], ['family:time'], ['diverse main character:diverse main character'], ['emotions:separation anxiety'], ['social:attachment/secure attachment'], ['object permanence:object permanence']]"
9780142410585,amazing you,gail saltz,"""Mom, where do babies come from?"" Many parents live in fear of the day
their child asks this question—which inevitably happens, often as early as
the preschool years. Here is a picture book designed especially for young
children who are becoming aware of their bodies, but aren't ready to learn
about sexual intercourse. Written with warmth and honesty, Amazing You!
presents clear and age-appropriate information about reproduction, birth,
and the difference between girls' and boys' bodies. Lynne Cravath's
lighthearted illustrations enliven the text, making this a book that
parents will gladly share with their young ones.",[],"[['body', 'image', 'parts'], ['self-acceptance'], ['self-love'], ['emotions:curiosity'], ['introduces new concept:introduces new concept'], ['growth:growth'], ['family:time'], ['culture:pride']]"
9780590960755,amelia and eleanor go for a ride,pam munoz-ryan,,[],
9780062209696,amelia bedelia,peggy parrish,"When Mrs. Rogers leaves Amelia Bedelia alone in the house on her first day
of work, anything can happen. And it does! With a list of what is to be
done before her, Amelia Bedelia sets about her duties. And no one could
possibly accuse her of not following directions—for that is precisely what
she does. But when Amelia Bedelia draws the drapes or dresses a chicken,
the results are hilariously different than might be expected! Peggy Parish
knows what strikes children as side-splittingly funny and Fritz Siebel has
drawn Amelia Bedelia and her literal-minded actions to perfection. A hearty
welcome to Amelia Bedelia—and long may she reign! This commemorative
fiftieth anniversary edition features the jacket, artwork, and story from
the original 1963 edition of Amelia Bedelia. Also included are seven
additional pages of archival photographs, sketches, and anecdotes and
recollections about the inception and creation of America's beloved
literal-minded housekeeper, Amelia Bedelia!",['daily tasks/activities/routines'],"[['cognition', 'reasoning and decision making skills'], ['challenges in a new place:challenges in a new place'], ['creativity:creativity'], ['emotions:anger'], ['emotions:frustration'], ['emotions:optimism'], ['food:food'], ['humor:humor'], ['imagination:imagination'], [""it's okay to make mistakes:it's okay to make mistakes""], ['language:word play'], ['patience:patience']]"
9781481459730,Bear can't sleep,Karma Wilson,"Bear’s many animal friends try to help him get to sleep in time for winter
hibernation in this companion story to Bear Snores On. It’s winter, and
deep in the forest, Bear should be fast asleep. But when his friends come
by to check on him, they realize that Bear is still awake! They brew him
hot tea and sing him lullabies, but nothing seems to work. Can Bear get to
bed? Or will he be up all winter?",['critical thinking/problem-solving'],
9781416902720,Bear Snores On,Karma Wilson,,['cooperation/working together'],"[['social', 'connection', 'sharing'], ['language:Rhyming'], ['language:alliteration'], ['social:friendship'], ['emotions:empathy'], ['social:feeling left out'], ['language:repetition'], ['introduces new concept:introduces new concept'], ['seasons:seasons'], ['celebration:party'], ['social:inclusivity']]"
9780593382646,Being you: a first conversation about gender,"Megan Madison,Jessica Ralli and Anne/Andy Passchier","Based on the research that race, gender, consent, and body positivity
should be discussed with toddlers on up, this read-aloud board book series
offers adults the opportunity to begin important conversations with young
children in an informed, safe, and supported way. Developed by experts in
the fields of early childhood and activism against injustice, this topic-
driven board book offers clear, concrete language and beautiful imagery
that young children can grasp and adults can leverage for further
discussion. While young children are avid observers and questioners of
their world, adults often shut down or postpone conversations on
complicated topics because it's hard to know where to begin. Research shows
that talking about issues like race and gender from the age of two not only
helps children understand what they see, but also increases self-awareness,
self-esteem, and allows them to recognize and confront things that are
unfair, like discrimination and prejudice. This second book in the series
begins the conversation on gender, with a supportive approach that
considers both the child and the adult. Stunning art accompanies the simple
and interactive text, and the backmatter offers additional resources and
ideas for extending this discussion.",['glossary/pronunciation guide'],"[['body', 'parts'], ['gender', 'identity', 'binary', 'expression'], ['gender:assignment'], ['difficult topics:stereotypes'], ['gender:pronouns'], ['feminism:feminism'], ['difficult topics:patriarchy'], ['empowerment:empowerment'], ['activism:activism'], ['culture:identity'], ['identity expression:identity expression']]"
9780593094655,Beyond the Gender Binary,Alok Vaid-Menon,"Winner of the 2021 In The Margins Award ""When reading this book, all I feel
is kindness.""-- Sam Smith, Grammy and Oscar award-winning singer and
songwriter ""Thank God we have Alok. And I'm learning a thing or two
myself.""--Billy Porter, Emmy award-winning actor, singer, and Broadway
theater performer ""Beyond the Gender Binary will give readers everywhere
the feeling that anything is possible within themselves""--Princess Nokia,
musician and co-founder of the Smart Girl Club ""A fierce, penetrating, and
empowering call for change.""-- Kirkus Reviews, starred review ""An
affirming, thoughtful read for all ages."" -- School Library Journal,
starred review In Beyond the Gender Binary, poet, artist, and LGBTQIA+
rights advocate Alok Vaid-Menon deconstructs, demystifies, and reimagines
the gender binary. Pocket Change Collective is a series of small books with
big ideas from today's leading activists and artists. In this installment,
Beyond the Gender Binary, Alok Vaid-Menon challenges the world to see
gender not in black and white, but in full color. Taking from their own
experiences as a gender-nonconforming artist, they show us that gender is a
malleable and creative form of expression. The only limit is your
imagination.",[],
9780140501698,Blueberries For Sal,Robert McCloskey,"What happens when Sal and her mother meet a mother bear and her cub? A
Caldecott Honor Book! Kuplink, kuplank, kuplunk! Sal and her mother a
picking blueberries to can for the winter. But when Sal wanders to the
other side of Blueberry Hill, she discovers a mama bear preparing for her
own long winter. Meanwhile Sal's mother is being followed by a small bear
with a big appetite for berries! Will each mother go home with the right
little one? With its expressive line drawings and charming story,
Blueberries for Sal has won readers' hearts since its first publication in
1948. ""The adventures of a little girl and a baby bear while hunting for
blueberries with their mothers one bright summer day. All the color and
flavor of the sea and pine-covered Maine countryside.""—School Library
Journal, starred review.","['daily tasks/activities/routines', 'anxiety/fear', 'repetitive phrases']",
9781847806062,Boom baby boom boom,Margaret Mahy,"When Mama tells Baby that she' s made a lovely lunch for him, she doesn' t
know that the animals are listening at the window. And they are much
hungrier than Baby. While Mama bangs on her drums - boom-biddy-boom-biddy-
boom-boom-boom - the yellow cat, the brown dog, the red rooster, the black-
faced sheep and the brown-and-white cow each eats a titbit thrown on the
floor by Baby. Good Baby gets a banana for pudding and, this time, he eats
it all up. Boom-biddy-boom-biddy-yum-yum-yum!",['repetitive phrases'],
9780063098299,Brayden speaks up,Brayden Harrington,"Available August 10, 2021 -Amazon.com.",[],
9780823443284,Bright Star,Yuyi Morales,"A Pura Belpré Illustrator Honor Book Winner of the Tomás Rivera Mexican
Children’s Book Award Inspiring, reassuring, and beautifully illustrated,
this new story from the creator of the New York Times bestseller Dreamers
is the perfect gift for every child. A New York Times Best Children’s Book
of the Year With the combination of powerful, spare language and sumptuous,
complex imagery characteristic of her work, Yuyi Morales weaves the tale of
a fawn making her way through a landscape that is dangerous, beautiful—and
full of potential. A gentle voice urges her onward, to face her fears and
challenge the obstacles that seek to hold her back. Child, you are awake!
You are alive! You are a bright star, Inside our hearts. With a voice full
of calm, contemplative wisdom, readers are invited to listen and observe,
to accept themselves—and to dare to shout! In a world full of uncertainty,
Bright Star seeks to offer reassurance and courage. Yuyi Morales' first
book since her New York Times bestseller Dreamers explores the
borderlands—the plants, animals, and insects that make their home in the
desert, and the people who live and travel through this unique and
beautiful part of the world. Created with a combination of techniques
including hand-embroidered lettering, painting, sketching, digital
paintings with textures from photographs of the Sonoran Desert, this
stunning book is full of beauty—from the handwoven blanket of the endpapers
through the last inspiring spread of young families facing their future
with determination and hope. A Spanish language edition, Lucero, is also
available. A People Magazine Best Kids Book of the Year A Washington Post
Best Children's Book of the Year An NPR 'Book We Love!' A Kirkus Reviews
Best Picture Book of the Year An ALSC Notable Children's Book A CCBC Choice
A CBC/NCSS Notable Social Studies Trade Book A CSMCL Best Multicultural
Children's Book of the Year An Evanston Public Library Great Books for Kids
pick!",['anxiety/fear'],"[['multilingual text', 'code-switching'], ['emotions', 'emotional regulation'], ['immigration:immigration'], ['perception:color'], ['perception:texture'], ['perception:motion perception'], ['perception:vision'], ['perception:hearing'], ['imagination:imagination'], ['borders:borders']]"
9781368003544,Bruce's big move,Ryan T. Higgins,"After the events of Hotel Bruce, our favorite curmudgeonly bear shares his
home with not only his four geese, but three rowdy mice besides! Fed up
with their shenanigans, Bruce sets off to find a rodent-free household. But
as usual, nothing goes quite according to plan. . . A hilarious sequel for
fans of the previous Bruce books, as well as a standalone discovery for new
readers, Bruce's next reluctant adventure is sure to keep kids giggling.",[],"[['family', 'found'], ['perception:similarity'], ['emotions:emotions'], ['social:friendship'], ['home:home'], ['moving:moving']]"
9781419758980,bubbie and rivka's best ever challah (so far),sarah lynne reul,"Bubbie and Rivka's new Friday tradition is to bake a loaf challah, and
while each week presents a new challenge, they learn that practice makes
progress and persistence makes for some very special together time and
delicious bread.","['perseverance', 'determination']","[['culture', 'foods'], ['family', 'generations', 'time'], ['multilingual text', 'code-switching', 'Yiddish'], ['patience:patience'], ['cognition:creative thinking/solutions'], ['language:sound effects'], ['language:word learning'], ['emotions:optimism']]"
9780664239114,Calvin,JR and Vanessa Ford,"This is the definitive English-language edition of one of the monumental
works of the Christian church. All previous editions--in Latin, French,
German, and English--have been collated; references and notes have been
verified, corrected, and expanded; and new bibliographies have been
added.The translation preserves the rugged strength and vividness of
Calvin's writing, but also conforms to modern English and renders heavy
theological terms in simple language. The result is a translation that
achieves a high degree of accuracy and at the same time is eminently
readable. Long recognized for the quality of its translations,
introductions, explanatory notes, and indexes, the Library of Christian
Classics provides scholars and students with modern English translations of
some of the most significant Christian theological texts in history.
Through these works--each written prior to the end of the sixteenth century
--contemporary readers are able to engage the ideas that have shaped
Christian theology and the church through the centuries.",['anxiety/fear'],"[['racial diversity'], ['ethnic diversity'], ['(dis)ability', 'diversity'], ['emotions', 'emotional regulation'], ['gender', 'identity', 'transition', 'transgender'], ['self-concept'], ['gender:Transgender child'], ['culture:identity'], ['social:unconditional love'], ['perception:motion perception'], ['perception:foreground/background'], ['includes additional resources:includes additional resources'], ['acceptance:acceptance'], ['support:support'], ['identity expression:identity expression']]"
9780064431439,Caps For Sale,Esphyr Slobodkina,"Caps for Sale is a timeless classic, in print for over fifty years, and
beloved by generations of readers. This easy-to-read story about a peddler
and a band of mischievous monkeys is filled with warmth, humor, and
simplicity. Children will delight in following the peddlers efforts to
outwit the monkeys in this new, enlarged, and redesigned edition, and will
ask to read it again and again.",[],
9781600605727,catching the moon-the story of a young girls baseball dream,crystal hubbard,"The spirited story of Marcenia Lyle, the African American girl who grew up
to become ""Toni Stone,"" the first woman to play for an all-male
professional baseball team.",[],
9781442450707,Chicka Chicka Boom Boom,Bill Martin Jr & John Archambault,"There is always enough room on your child’s bookshelf for this Classic
Board Book edition of the rollicking alphabet chant that has been a
children’s favorite for over thirty years! A told B, and B told C, “I’ll
meet you at the top of the coconut tree” In this lively alphabet rhyme, all
the letters of the alphabet race each other up the coconut tree. Will there
be enough room? Oh, no—Chicka Chicka Boom! Boom! Countless children—and
their parents—can joyfully recite the familiar words of this beloved
alphabet chant. Bill Martin, Jr., and John Archambault’s rhythmic text
keeps the beat with Caldecott Honor illustrator Lois Ehlert’s bold,
cheerful art. This winning combination has made the Chicka Chicka series an
enduring classic.",[],"[['language', 'repetition', 'learning the alphabet'], ['cognition', 'cause and effect'], ['language:rhyming'], ['language:upper vs. lowercase letters'], ['language:alliteration'], ['language:adjectives']]"
9780689832130,click clack moo cows that type,doreen cronin,A collection of children's books on the subject of farms.,"['speaking up/standing up for yourself and others', 'critical thinking/problem-solving', 'cooperation/working together']",
9780689707490,Cloudy With a Chance of Meatballs,Judi Barrett,"If food dropped like rain from the sky, wouldn't it be marvelous! Or would
it? It could, after all, be messy. And you'd have no choice. What if you
didn't like what fell? Or what if too much came? Have you ever thought of
what it might be like to be squashed flat by a pancake?",[],
9781536201161,counting in dog years and other sassy math poems,betsy franco,"Award-winning author Betsy Franco is back with another performance that
explores a range of math topics--from fractions and time measurements to
geometry and graphs--in a way that relates math to the daily lives of
children.",[],"[['perception', 'Gestalt principles', 'similarity'], ['family'], ['language:word play'], ['family:time'], ['culture:identity'], ['math:math'], ['language:descriptive'], ['anthropomorphizing:anthropomorphizing'], ['shapes:shapes'], ['math:numbers']]"
9780547428932,Curious George: My favorite things,Margret and H. A. Rey,George and his beloved teddy go on lots of adventures together.,['daily tasks/activities/routines'],
9780618605644,Curious George's First Day of School,H. A. Rey,"It's the first day of school, and Curious George has been invited to Mr.
Apple's class to be a special helper George is just the right monkey for
the job--until he starts to wreak his usual havoc, that is. Red and yellow
paint makes orange, yellow and blue makes green . . . and a mixture of all
the paint colors makes a big mess Curious George and the First Day of
School is a story based on H. A. and Margret Rey's popular primate and
painted in the original watercolor and charcoal style. A full-color twenty-
four-page paperback with bonus activities inside, including an ""Ants on a
Log"" recipe, a word search, and a ""Color Your World"" craft idea. For more
monkey fun, investigate www.curiousgeorge.com and discover all the latest
on Curious George books, promotions, games, activities, and more","['Cooperation/working together', 'help others', 'daily tasks/activities/routines']",
9780316427029,Daddy & Dada,Ryan Brockington & Isaac Webster,,[],"[['racial diversity'], ['ethnic diversity'], ['(dis)ability', 'diversity'], ['family', 'generations', 'activities', 'parent-child relationships', 'structures'], ['family:sibling relationships'], ['gay marriage:gay marriage'], ['acceptance:acceptance'], ['family:love']]"
9780810938724,dear primo: a letter to my cousin,duncan tonatiuh,"From first-time Mexican author and illustrator Duncan Tonatiuh comes the
story of two cousins, one in America and one in Mexico, and how their daily
lives are different yet similar. Charlie takes the subway to school;
Carlitos rides his bike. Charlie plays in fallen leaves; Carlitos plays
among the local cacti. Dear Primo covers the sights, sounds, smells, and
tastes of two very different childhoods, while also emphasizing how alike
Charlie and Carlitos are at heart. Spanish words are scattered among the
English text, providing a wonderful way to introduce the language and
culture of Mexico to young children. Inspired by the ancient art of the
Mixtecs and other cultures of Mexico, Tonatiuh incorporates their stylized
forms into his own artwork. F&P Level: M F&P Genre: RF",[],"[['multilingual text', 'Spanish and English', 'code-switching'], ['language:word learning'], ['language:visual/contextual word learning']]"
9780062396983,"Dim sum,here we come",Maple Lam,,[],"[['culture', 'customs', 'foods'], ['family', 'activities', 'time', 'traditions'], ['social', 'sharing', 'taking turns'], ['meaning'], ['manners:manners'], ['patience:patience']]"
9781454916147,Do your ears hang low?,Jenny Cooper,"Animals act out the lyrics to the humorous children's song and ask readers
to look at their ears on the mirrored last page. Includes brief factual
information about ears.",[],"[['rhythm'], ['contrast'], ['language:Rhyming'], ['perception:texture'], ['emotions:emotions'], ['perception:motion'], ['includes additional resources:includes additional resources']]"
9781984813022,Don't hug Doug (he doesn't like it),Carrie Finison,"Meet Doug, an ordinary kid who doesn't like hugs, in this fun and exuberant
story which aims to spark discussions about bodily autonomy and
consent—from author Carrie Finison and the #1 New York Times bestselling
illustrator of The World Needs More Purple People, Daniel Wiseman. Doug
doesn't like hugs. He thinks hugs are too squeezy, too squashy, too
squooshy, too smooshy. He doesn't like hello hugs or goodbye hugs, game-
winning home run hugs or dropped ice cream cone hugs, and he definitely
doesn't like birthday hugs. He'd much rather give a high five--or a low
five, a side five, a double five, or a spinny five. Yup, some people love
hugs; other people don't. So how can you tell if someone likes hugs or not?
There's only one way to find out: Ask! Because everybody gets to decide for
themselves whether they want a hug or not.",[],"[['body', 'bodily autonomy', 'consent'], ['different:individual differences'], ['personal space:personal space'], ['language:rhyming']]"
9781433837067,Don't hug the quokka,Daniel Errico,"That quokka may be cute, but you can't hug it unless it says it's OK!",[],"[['body', 'bodily autonomy', 'consent', 'language', 'gestures'], ['social:multiple types of communication'], ['parental guide:parental guide']]"
9780399173141,Dream snow,Eric Carle,"This board book edition of Eric Carle's classic Christmas book is perfect
for holiday gift-giving and stocking stuffing! It's December 24th, and the
old farmer settles down for a winter's nap, wondering how Christmas can
come when there is no snow! In his dream he imagines a snowstorm covering
him and his animals—named One, Two, Three, Four and Five—in a snowy
blanket. But when the farmer awakens, he finds that it has really snowed
outside, and now he remembers something! Putting on his red suit, he goes
outside and places gifts under the tree for his animals, bringing holiday
cheer to all. Clever lift-the-flaps reveal the animals hidden under the
snow in the farmer's dream, making this board book edition a treat for all
ages. Praise for Dream Snow: ""Few in number are the parents who have made
it through their toddler's years on just one copy of Carle's The Very
Hungry Caterpillar. Dream Snow has similar ingredients: a simple story,
lively collage-like illustrations and a fun gimmick for little hands . . .""
—TIME",[],"[['language', 'word object associations'], ['naming:Naming'], ['matching:matching']]"
9780823440559,Dreamers,Yuyi Morales,"We are resilience. We are hope. We are dreamers. Yuyi Morales brought her
hopes, her passion, her strength, and her stories with her, when she came
to the United States in 1994 with her infant son. She left behind nearly
everything she owned, but she didn't come empty-handed. From the author-
illustrator of Bright Star, Dreamers is a celebration of making your home
with the things you always carry: your resilience, your dreams, your hopes
and history. It's the story of finding your way in a new place, of
navigating an unfamiliar world and finding the best parts of it. In dark
times, it's a promise that you can make better tomorrows. This lovingly-
illustrated picture book memoir looks at the myriad gifts migrantes bring
with them when they leave their homes. It's a story about family. And it's
a story to remind us that we are all dreamers, bringing our own strengths
wherever we roam. Beautiful and powerful at any time but given particular
urgency as the status of our own Dreamers becomes uncertain, this is a
story that is both topical and timeless. The lyrical text is complemented
by sumptuously detailed illustrations, rich in symbolism. Also included are
a brief autobiographical essay about Yuyi's own experience, a list of books
that inspired her (and still do), and a description of the beautiful
images, textures, and mementos she used to create this book. A parallel
Spanish-language edition, Soñadores, is also available. Winner of the Pura
Belpré Illustrator Award! A New York Times / New York Public Library Best
Illustrated Book A New York Times Bestseller Recipient of the Flora
Stieglitz Strauss Award A 2019 Boston Globe - Horn Book Honor Recipient An
Anna Dewdney Read Together Honor Book Named a Best Book of 2018 by Kirkus
Reviews, Publishers Weekly, School Library Journal, Shelf Awareness, NPR,
the Boston Globe, the Chicago Tribune, Salon.com-- and many more! A Junior
Library Guild selection A Eureka! Nonfiction Honoree A Bulletin of the
Center for Children's Books Blue Ribbon title A Bank Street Best Children's
Book of the Year A CLA Notable Children's Book in Language Arts Selected
for the CBC Champions of Change Showcase",[],"[['culture'], ['storytelling'], ['immigration:immigration'], ['challenges in a new place:challenges in a new place'], ['power of knowledge/books:power of knowledge/books'], ['resilience:resilience'], ['language:word learning'], ['library:library']]"
