Title,Author,Source,Language(s),Classes Where this could be useful,Topics Covered,Comments,Comments by Audrey,class activity ideas,How frequently identified/used,Comments by Ashley,,Comments by Sydney
amelia bedelia,peggy parrish,,,,,,,,,,,"Challenges in a new place, creativity, daily tasks/activities, anger, frusteration, optimism, food, humor, imagination, it's okay to make mistakes, word play, patience, reasoning and decision making skills"
Bear can't sleep,Karma Wilson,Librarian recommendation,English,,"rhyming, sleep, friendship, problem solving, creative thinking",,,,,,,
Bear Snores On,Karma Wilson,,English,,"Rhyming, alliteration, friends/sharing, empathy, feeling left out, working towards a collective goal","Repetition (bear snores on), introduces idea of hibernation (though I am not sure it would be completely clear to children), friends sharing food and having a party and a warm space on a cold winters night",,,,"Sharing
Working together towards a collective goal
A feeling of being left out
The mouse includes the bear
Empathy 
Importance of social connection",,
Being you: a first conversation about gender,"Megan Madison, Jessica Ralli and Anne/Andy Passchier",,English ,"Developmental, Psychology of Gender","Pronouns, gender assignment, gender binary, gender stereotypes, gender expression, Feminism, patriarchy, empowerment and activism, body parts",,,,,,,
Beyond the Gender Binary,Alok Vaid-Menon,,English,,,,,,,,,
Blueberries For Sal,Robert McCloskey,Student recommendation,English,,,,,,,,,"Daily tasks/activities, anxiety/fear, parent-child relationships in various species, parents protecting children, food, repetitive phrases, sound effects, seasonal activities"
Boom baby boom boom,Margaret Mahy,Librarian recommendation,English,,,,Rhythmic and repetitive phrases,,,"Sensory exploration: dropping objects off the high chair, babies do this to figure out depth
Cause and effect: what happens if they drop food from a high chair?
Parents get mad?
Animals eat the food?",,
Brayden speaks up,Brayden Harrington,Thriftbooks,English,,,,,,,,,
Bright Star,Yuyi Morales,Cellar door books,"English, Spanish","Developmental, Perception, Psycholinguistics, Social Psychology","Code switching, immigration, color, texture, family, motion perception, fear, emotion regulation, vision, hearing, imagination, borders/transitions",,,,,,,
Bruce's big move,Ryan T. Higgins,Librarian recommendation,English,"Developmental, Intro Psych, Perception","family, found family, similarity, Emotions, friendship, concept of home, moving",,,,,,,
bubbie and rivka's best ever challah (so far),sarah lynne reul,Random pick,"English, Yiddish",,", code-switching","diversity, sound effects, new words, perseverance, multi generational",,,,,,
Calvin,JR and Vanessa Ford,Thriftbooks,English,"Developmental, Psychology of Gender, Perception","Transgender child, self-concept, identity unconditional love, dealing with anxiety/fear, emotion regulation technique (5,4,3,2,1 method), motion perception, foreground/background",About a child's transgender transition; includes websites at the end for individuals looking for more info or guidance,,,,,,
Caps For Sale,Esphyr Slobodkina,,English,,,,,,,,,
catching the moon-the story of a young girl's baseball dream,crystal hubbard,,,,,,,,,,,
Chicka Chicka Boom Boom,Bill Martin Jr & John Archambault,Student recommendation,English,,"learning the alphabet, rhyming, cause and effect (too many letters bends/breaks the tree); upper vs. lowercase letters; alliteration, adjectives/descriptions",,,,,,,
click clack moo cows that type,doreen cronin,,,,,,,,,,,
Cloudy With a Chance of Meatballs,Judi Barrett,,English,,,,,,,,,
counting in dog years and other sassy math poems,betsy franco,Random pick,English,,"word games; time, Gestalt principles (e.g., similarity), identity, math, descriptors, anthropomorphizing, shapes, family","word play, numbers/math, time",,,,,,
Curious George: My favorite things,Margret and H. A. Rey,South Pasadena library,English,,,,,,,,,"Daily tasks/activities/routines, rhyming"
Curious George's First Day of School,H. A. Rey,,English,,,,,,,,,"Cooperation, help others, cause and effect, challenges in a new place, daily tasks/activities/routines, empathy, curiosity, sadness, first day of school, it's okay to make mistakes, starting school, taking care of shared space"
Daddy & Dada,Ryan Brockington & Isaac Webster,,English,Developmental,Different types of family structures,,,,,,,
dear primo: a letter to my cousin,duncan tonatiuh,Librarian recommendation,"Spanish, English",Psycholinguistics,"word learning, code-switching","mix of english and spanish, using pictures/context for word learning",,,,,,
"Dim sum, here we come",Maple Lam,Cellar door books,"English, Chinese","Developmental, Intro Psych","Family, culture, food, meaning, manners, patience, taking turns, sharing",,,,,,,
Do your ears hang low?,Jenny Cooper,,,,"Rhyming, rhythm, texture, emotions, motion, contrast, self image, additional facts",Not sure what the right phrase is. I like that they include a mirror at the end so you can look at your own ears but is that technically self image?,,,,,,
Don't hug Doug (he doesn't like it),Carrie Finison,Thriftbooks,English,,"Consent, individual differences, personal space, rhyming",,,,,,,
Don't hug the quokka,Daniel Errico,,English,"Adolescence, Education classes","Consent, bodily autonomy, body language, multiple types of communication",I like the parents guide at the end but immediately I like yes/no questions,,,,,,
Dream snow,Eric Carle,Student recommendation,English ,Psycholinguistics,"Naming, word-object associations",figuring out what animals numbers correspond to,,"could be interesting as part of discussion on mutual exclusivity assumption (learning that you can label something as an animal, horse, name [one])",,,,
Dreamers,Yuyi Morales,Cellar Door Books,"English, Spanish",,"culture, immigration, challenges in a new place, power of knowledge/books,  storytelling, resilience, word learning",describes the author's eary experience in a new country (US) and how the library helped her feel more connected,,,,,,
Duck and goose: Goose needs a hug,Tad Hills,Mary,English,"Developmental, Perception","Emotions, listening, texture gradient, foreground/background",,,,,,,
Ella the elegant elephant,Carmela & Steven D'amico,,English,Developmental,"starting at a new school, being nervous, making friends, bullying, being youself",Withdrawn-rejected child category,,,,,,
"Ernest, the moose who doesn't fit",Catherine Rayner,Random find,English,,,,,,,,,"Imagination, determination, silly sounds, humor, object permanence, creative thinking/solutions, "
every last bubble must pop,jason carter eaton,Random find,English,,"Motion perception, adventure, verbs, determination, passing time, bigger/better/faster, friendship, problem-solving","motion pictures and descriptors, different modes of transportation, changing light",,,,"Loneliness
Persistence
Curiosity: Dewey’s curiosity drives him to go on an adventure to pop the bubble
Resilience: he faces many challenges, but doesn’t give up
Shows the importance of resilience in overcoming obstacles
Problem-solving: uses communication and problem solving to reach the bubble",,
Everybody cooks rice,Norah Dooley,,English,,"culture, food, (cultural) similarities/differences, word learning","good story that shares how cultures are the same (everybody cooks rice) and different (different dishes and ingredients); a little text heavy, may not be ideal for quick picture book project",,,,,,
Eyes that kiss in the corners,Joanna Ho,,English,,"Descriptive language, diversity, identity, family, generations, motion, culture, Gestalt principles, texture gradient, relative size, cultural identity, cultural history, self acceptance",,,,,,,
Fancy Nancy,Jane O'Connor,Student recommendation,English,,"Self-concept, identity, motion perception, daily activities family, love, vocabulary development, embarrassment","Self-identity, how younger kids sense of self is first based on physical characteristics, family support: all dress up with her for dinner, roles of family and how supporting kids interests is important",,,,"Personal style
Uniqueness
Embarrassment 
Self concept: Nancy’s love for all things fancy, her beliefs about who she is as a person
Importance of developing a positive self-concept and expressing their individuality
Language development: sophisticated vocabulary can inspire children to develop their own language skills
Socialization: importance of developing positive relationships with others
Creativity: ability to make clothing fancy with accessories",,"Kindness, love, being yourself, creativity, family activities, family caring for each other, parent-child relationships, family time, word learning, repitition, self concept, self confidence, self expression, self love, uniqueness "
Fighting For Yes,Maryann Cocca-Leffler,,English,,"Determination, advocacy, problem-solving, working together, discrimination, community (support)","book is very text heavy, but interesting intro to Americans With Disabilities Act; Judith Heumann did a Ted talk (if you're looking for supplemental resources to go with the book)",,,,,,
Firebird,Misty Copeland,Random find,English,"Perception, Psycholinguistics, Developmental","motion perception, Self-confidence, similes,Time, practice, diversity, self acceptance/appreciation",,,,,,,
flash and gleam - light in our world,sue fliess,Random find,English,,,"rhyming, different types of light, diversity, holidays, the science behind light; relative size, gestalt principles; we're different but we're the same; light and celebration; Could be a good pairing with It's Diwali",,create your own page to add to the book,,"Emotion regulation: 
Ability to light up and shine in the darkness
Teaches children to find ways to shine during difficult times
Resilience:
The fireflies’ ability to overcome obstacles and continue to shine even when faced with challenges
The importance of persistence
Positive psych: 
Bring joy and light to the world
Gratitude, optimism ",,
Flyaway Katie,Polly Dunbar,Student recommendation,English,,,,,,,,,
Fred gets dressed,Peter Brown,Thriftbooks,English,"Developmental, Psychology of Gender","Gender norms, gender expression, acceptance, being yourself",,,,,,,
Frog and Toad Together,Arnold Lobel,Student recommendation,English,"Developmental, Education/literacy classes","Friendship, Daily tasks, getting organized, routine fixedness/adaptability, patience, growing cycle, inhibition, fear, self-concept, comparison",I can read book; could be useful when talking about reading skills and differences in how picture books vs. early reading books are written,,,,,,"Friendship, functions of a friend, help others, daily tasks/activities/routines, getting organized, routine fixedness, showing love without using words, patience, growth cycle, fear, sharing, cooking, food, executive function, problem solving, bravery, love"
Fuddles and Puddles,Frans Vischer,Random find,English,Developmental,"Friendship, new relationships/new siblings",,,,,,,
"Glad, Glad Bear!",Kimberly Gee,Random find,English,"Developmental, Psychology of Gender",Gender roles and gender specific activities,,,,,,,
Goodnight Bubbala,Sheryl Haft,Thriftbooks,"English, Yiddish",Psycholinguistics,", code-switching",parody of Goodnight Moon (might be interesting comparison btwn the books); word learning (figuring out what Yiddish words mean); cultural food/traditions,,,,,,
Goodnight Moon,Margaret Wise Brown,Student recommendation,English,,,,,,,,,"Rhyming, repetitive phrases"
,,,,,,,,,,,,
grandmas records,eric velasquez,,,,,,,,,,,
hair love,matthew a. cherry,,English,"Developmental, Social, Psychology of Gender, Multicultural","Identity, self acceptance, racial style, breaking norms, persistence, family",,,,,,,
Hanukkah Hop!,Erica Silverman,Random find,English,,,,,,,,,
Happy in our skin,Fran Manushkin,,English,"Developmental, Perception","diversity, self-love, function of the skin",,,could be nice to bring in when we do the skin senses lecture,,,,
Hark! A Vagrant,Kate Beaton,Phil,English,,,,,,,,,
Harold and the Purple Crayon,Crockett Johnson,Classic,English,Perception,"Creative thinking, adventure, adjectives, daily activities, relative size, texture gradient","Draws out his whole day, active child, creating his own world with the crayon, creativity, internal motivation to learn",,,,,"Adventure, creative thinking/solutions, critical thinlking/problem solving, fear, creativity, executive function, imagination, making decisions, reasoning and decision making skills, use of color",
Hero dad,Melinda Hardin,Thriftbooks,English,Developmental,"Military, military families, heroism",Could be an interesting addition to discussions about different types of families,,,,,,
Ho'onani Hula Warrior,Heather Gale,Documentary A Place in Middle,"English, Hawaiian","Developmental, Adolescence, Psychology of Gender; Cross-cultural/multicultural psychology","Gender binary/transgender; gender norms; cultural (Hawaiian) traditions; alliteration; family relationships; self-confidence; spotlight effect, code-switching","Sociocultural differences, understanding the gender spectrum, finding confidence, sense of self and culture and having support from people around her, rhyming sounds, language development",,,,,,
honk honk goose,april pulley sayre,,English,,,"sound effects, numbers","parents protecting their children, numbers, what sound a goose makes (teaching children animal sounds)",,,,,
How Do Dinosaurs Learn to Read? ,Jane Yolen & Mark Teague,Librarian recommendation,English,"Psycholinguistics, Developmental, Perception","Rhyming, emotions, motion perception, tips for learning to read, deeper processing (can you find the word dinosaur? say it? roar like one?)","tips on learning to read; almost word search at end of book, encouraging kids to reread the book; practice recognizing emotions and starting to get sense of cause and effect (what causes dinos to be happy or mad and what facial expressions do adults have as result of behavior). Also paying attn to pictures to find dinos names in each picture",,,,,,"Determination, anger, managing of emotions, anthropomorphizing, inspiring students, rhyming, alphabet, learning the alphabet, glossary, patience, perseverance, tips on learning how to read"
how do dinosaurs say happy birthday?,jane yolen & mark teague,,,,,,,,,,,"Celebration, birthday, rhyming, anthropormorphizing, selfishness, manners, kindness, sharing, tutorial on manners, help others"
How Much Is A Million?,David M. Schwartz,Random pick,English,"Psycholinguistics, Perception","Number concepts, relative size, descriptive language, Gestalt principles, motion perception, time passing, alliteration",Help children understand large numbers,,,,,,
How we say I love you,Nicole Chen,Random pick,"Mandarin Chinese, Taiwanese Hokkien, English","Psycholinguistics, Developmental","Family, word learning, love languages, respect for elders, cultural values, code-switching",,,"Could bring in on the day we discussed parenting styles to discuss different ways of showing warmth/action besides physical things like hugs or saying ""I love you""",,"Can show love without using words
Cultural customs → elders serve themselves first
Different cultures say I love you in different ways
Multiple languages: English, Mandarin Chinese, and Taiwanese Hokkien
cultural values ",,
Hundred years of happiness,Thanhha Lai,Random find,"English, Vietnamese","Intro Psych, Perception","family, culture, memory, memory loss, continuity, similarity, aging, word learning, multiple generations, family caring for each other",,,could be an interesting supplement to memory/forgetting unit,,,,
I am golden,Eva Chen,AAPI book list,English,"Developmental, Multicultural","culture/cultural heritage, embracing differences, self-concept, identity, names have meaning, immigration, family history","could be part of a set of books on multiculturalism, maybe along with Islandborn",,,,,,"Isolation, resilience, perseverance, cultural heritage, celebration, food"
I am living in 2 homes,Garcelle Beauvais and Sebastian A. Jones,,English,,,,,,,,,"Normalizes divorce, family structures, family relationships, family activities, love, emotional regulation, talking about difficult topics, fear, family caring for each other, rhyming, family time"
I Am Not A Label,Cerrie Burnell,Skirball,,,,,,,,,,
I Am Ruby Bridges,Ruby Bridges,,English,,"Race/racism, bridging the gap (between races); being proud of who you are; not wanting to hurt other people's feelings (not complaining about name that grandma picked); being first; don't be afraid to reach for your dreams",,,,,,,
I am stronger than anxiety,Elizabeth Cole,,English,"Intro psych, developmental","Anxiety, rhyming, dealing with emotions, motion",Not bad but I like Worry Box a bit better,,,,,,
i can fly,ruth krauss,,,,,,,,,,,
i hear a pickle,rachel isadora,,,,,,,,,,,
I like myself,Karen Beaumont,Random find,English,"Developmental, Intro Psych, Perception, Psycholinguistics","Self-esteem, self acceptance, uniqueness, identity, rhyming, motion perception",Artwork is reminiscent of Dr. Seuss,,,,,,
i scream ice cream,amy krouse rosenthal,,English,,word games,"word games, word segmentation",,Could pair with discussion of misheard song lyrics,,"Delayed gratification: waiting patiently in line for ice cream
Important to wait for things we want
Emotional regulation: how different animals react to waiting
Importance of managing emotions
Empathy: animals working together and sharing their ice cream
Importance considering other people’s feelings
Social skills: communication, cooperation, conflict, and resolution
",,
I want my hat back,Jon Klassen,Mary,English,,"Conversational turn-taking, manners, helping, persistence, elaboration, memory","Language is a bit simplistic; disturbing that the bear eats the rabbit at the end, though it could be a ""natural outcome""; is it trying to teach that lying is bad?",,,,,,
I'm gonna climb a mountain in my patent leather shoes,Marilyn Singer,Random find,English,,,,,,,,,"Different environments, family activities, family time, self-expression, rhyming, leaving comfort zone, self-confidence, female empowerment"
I'm hungry Tengo Hambre,Angela Dominguez,Librarian recommendation,"Spanish, English","Psycholinguistics, Developmental","Word/language learning, picky eater, friendship, helping",,"bilingual speaking (spanish/english), making decisions",,,,,
"I'm not scared, you're scared",Seth Myers,Random find,English,"Developmental, Intro Psych","fear, bravery, friendship",,,,,,,
If you give a mouse a cookie,Laura Numeroff,Student recommendation,English,,"Cause and effect, motion perception, helping, Not finishing what you start, learning to stand up for yourself/say no, ADHD?, Daily tasks/routines",,,,,,,
If You Give A Pig A Pancake,Laura Numeroff,Student recommendation,English,,"Cause and effect, motion perception, helping, Not finishing what you start, learning to stand up for yourself/say no, ADHD?",,,,,,,
If you're hoppy,april pulley sayre,Random pick,English ,"Psycholinguistics, Developmental ","rhyming, categories, adjectives",,,could have students come up with their own category/verse,,,,
imani's moon,janay brown-wood,Little library,"English, Maasai","Psycholinguistics, Developmental, Perception","bullying, storytelling, parent-child relationships, word learning, bravery, determination, perseverance, dream big/following dreams, creative thinking/solutions, celebration, cultural customs, self-confidence, motion perception, Gestalt principles (proximity), sound effects, word learning, code switching",,,,,,,
Is There Really a Human Race?,Jamie Lee Curtis,Librarian recommendation,English,"Psycholinguistics, Perception","Literal versus figurative language, rhyming, motion perception, competition or having fun?, understanding your place,  visual attention (where are you looking), search strategies, helping others",,,,,,,
Isabel and her colores go to school,Alexandra Alessandri,Random find,"Spanish, English","Developmental, Intro Psych, Psycholinguistics","First day of school, language/communication, colors, friendship, word learning, fear, similes, metaphors",,,,,,,
ish,Peter H Reynolds,Thriftbooks,English,,"Passion, sibling relationships, frustration, anger, bullying, acceptance, changing perspectives, emotions, motion, perfectionism",,,,,,,
Islandborn,Junot Díaz,,"English, Spanish",,"Cultural identity, motion perception, Gestalt principles (similarity, proximity, grouping), similes, lighting, good vs. evil, code-switching","interesting mix of words and pictures (e.g., blanket bats), lighting effects, like Mr. Mir's lamp",,,,,,
It's Diwali,Kabir Sehgal & Surishtha Sehgal,Random find,"English, Hindi","Developmental, Psycholinguistics","Diwali, holidays, similarity, color, culture, word learning, counting, rhyming",Could be a good pairing with Flash and Gleam,,,,,,
Jacob's New Dress,Sarah & Ian Hoffman,Skirball,English,"Developmental, Psychology of Gender","Gender identity, sex roles, gender nonconformity, self-expression, bullying, imagination, different ways to be a boy, friendship, pride",,,,,,,
Jazz baby,Lisa Wheeler,,English ,,"Rhyming, imitating instrument sounds, repetition, silly sounds",,,,,,,
Julián is a Mermaid,Jessica Love,Librarian recommendation,"English, Spanish",,"gender roles, gender expression, motion perception, identity, self-expression, pictures without words, acceptance, being yourself, code-switching",,,,,,,
Just in case,Yuyi Morales,Cellar Door Books,"English, Spanish",,"word learning, friendship, phonetics/alphabet, repetitive phrases, visual attention",can you find the butterfly in each picture?,,,,,,
Keepunumuk: Weeachumun's Thanksgiving story,"Danielle Greendeer, Anthony Perry and Alexis Bunten",Cellar Door Books,"English, Wopanaak",,"culture, helping others, colonization, caring for the environment, word learning, oral storytelling",First Nations' perspective on arrival of colonists and first Thanksgiving,,,,,,
Knight Owl,Christopher Denise,Barnes & Noble,English,,"following your dreams, playing to your strengths, friendship, creative thinking",,,,,,,
Knock knock,Tammi Sauer,Random find,English,Psycholinguistics,"knock knock jokes, word play, friendship",,,,,,,
la princesa and the pea,susan middleton elya,Librarian recommendation,"Spanish, English",Psycholinguistics,"word learning, code-switching","mix of english and spanish, spanish glossary and pronunciation guide, rhyming, word learning, fairy tales",,,,,,
Let me call you sweetheart,Mary Lee Donovan,Barnes & Noble,English,,"Family, love, affection, rhyming, code switching, food, motion, birds, multilingual",,,,,,,
Let's Play Monsters!,Lucy Cousins,,English,,,,,,,,,
little blue truck,alice schertle,,,,,,,,,,,"Rhyming, sound effects, teaching children animal sounds, kindness, bullying, cause and effect, fear, manners, help others, cooperation, friendship, functions of a friend"
Little messy Marcie Su,Cherie Fu,Librarian recommendation,"English, Mandarin ",Psycholinguistics ,"rhyming, word learning, executive function/inhibition, intro to Mandarin Chinese tones, code-switching","Intro to Mandarin Chinese tones with comparable English examples, glossary in back, language development, semantic development",Responsibility?,,,,,
Little roja riding hood,susan middleton elya,,"Spanish, English","Psycholinguistics, Developmental","word learning, code-switching","mix of english and spanish, spanish glossary and pronunciation guide, rhyming, word learning, fairy tales",,,,"2 languages: English and Spanish
Telenovela cultural aspect
Religious references
Cognitive development: reasoning and decision-making skills to disobey her mother and talk to the wolf",,
lola goes to school,anna mc quinn,,,,,,,,,,,
look,fiona woodcock,Random find,English,,"creative thinking, spelling (words with 2 o's)",almost every word has 2 'oo'z (how do they incorporate them into each word/picture?); could be useful for a speech pathologist who needs kids to practice saying certain sounds; helpful for teachers working on spelling,,"come up with additional words you could add to the book (e.g., school, spool could have have spools of thread)",,,,
Loud Mouse,Cara Mentzel & Idina Menzel,Mom,English,,"empowerment, finding your voice, change, getting out of your comfort zone","lots of adjectives, motion, color, similes, being different, change (puberty?), ",,,,"Becoming confident
May be scary to change, but it’s okay
Getting out of comfort zone is scary but leads to great things",,
Love made me more,Colleen Rowan Kosinski,Random find,English,,"Growing up, change, major life events, transitions, multiple generations","Interesting contrast to the Giving Tree in that the relationship between the crane and the boy changes with time, but more positive",,,,,,
Love You Forever,Robert Munsch,Student recommendation,English,,,,,,,,,
Maiden & Princess,Daniel Haack & Isabel Galupo,Student gift,English,,,"Teaches about the sexual attraction spectrum, breaking the gender binary, normalizing it, development of self and realizing she doesn't want to marry the prince; she loves the princess",,,,,,
"Martine il court, il court, le furet!",Gilbert Delahaye,Student recommendation,French,,,,,,,,,
Maybe Something Beautiful,Isabel Campoy and Theresa Howell,,English,,,,,,,,,
Me and my fear,Francesca Sanna,,,,,"Fear, holding back, realizing others have fear",,,,,,
"Minnies Diner, a multipying menu",Dayle Anne Dodds,Librarian recommendation,English ,Psycholinguistics ,"word games, rhyming, math/doubling, chores","lots of rhyming including boys' names, basic math, chores on a farm",,,,,,
music class today,david weinstone,Random pick,English,,,"rhyming, motion, shy child, breast feeding, individual differences",,,,,,
My family's changing,Pat Thomas,Thriftbooks,English,Developmental,"Divorce, family, emotions, sadness, anger, confusion, love, change, transitions, helping around the house, family structures",,,,,,,
My Friend Maggie,Hannah E. Harrison,,English,Developmental Psychology,"Friendship, bullying, peer groups/cliques",,,,,,,
My Hair Is Poofy & That's Okay,Nikkolas Smith,,English,,Diversity,,,,,,,
My name is Yoon,Helen Recorvits,Thriftbooks,,"Developmental, Social, Multicultural, Psycholinguistics, Education classes","Culture (differences), language (differences, alphabet, meaning), immigration, Leaving comfort zone, starting at a new school, word learning, imagination, creativity, familial pride, names have meaning",,,,,,,
my pet feet,josh funk & billy yong,Librarian recommendation,English,Psycholinguistics,,"word play, disappearing 'R', phonemes, language impairments",,Could include with a discussion of specific language impairment (use examples from the book to help students think about separating phonemes),,,,
my storee,paul russell and aska,,,,,,,,,,,
My Town Mi Pueblo,Nicholas Solis,Penguin newsletter,"Spanish, English",Developmental,"Similarities/differences, word learning, family, community, borders, customs, cultural identity",,,,,"2 languages: English and Spanish
Illustrations represent different cultures
Different types of houses
What the neighborhood looks like
The border between the United States and Mexico
Flags on both sides of the river
People are carrying their passports to cross the border
What is a custom/normal to someone is not always to someone else
Similarities and differences between 2 cultures
Cultural identity: how cultural heritage influences our sense of self
Social identity: how group membership and social norms can shape our behavior and attitudes
Different ranges of emotion
Highlights the importance of connections with others
Cultural competence: how we can develop awareness, knowledge, and skills, to effectively navigate and engage with different cultural groups
",,
Nana Loves You More,Jimmy Fallon,Random pick,English,,,,,,,,,
Nell plants a tree,Anne Wynter,Barnes & Noble,English,Developmental,"Actions and consequences, motion, light, growth, time, generations, activities, rituals/traditions, family",,,,,,,
no more por favor,susan middleton elya,,"Spanish, English",,,"mix of english and spanish, spanish glossary and pronunciation guide, rhyming, word learning, picky eaters, ",,,,,,
"No, David!",David Shannon,Student recommendation,English,Psycholinguistics,,"minimal but repetitous text, have to use pictures to figure out meaning, daily tasks/activities",,,,,,
Nosotros Means (A billingual Story),Paloma Valdivia,Penguin Random House email,"Spanish, English","Psycholinguistics, Developmental","word/language learning, Parent-child relationships, seasons, passing time, growing up/changing","Written in Spanish and English, teaches about relationships between parent and child in various species, consistent phrases help with word learning (Si yo fuera...)",,,,,,
Not All Sheep Are Boring,Bobby Moynihan,Mom recommendation,English,Social Psychology,"Breaking stereotypes, embracing what makes individuals different/special",,,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,Classic,English,,,,,,,,,
Old Friends,Margaret Aitken,,English,,,,,,,,,
On account of the gum,Adam Rex,Thriftbooks,English,,"Consequences, problem-solving, evaluating sources, rhyming                                                                                                                                ",,,,,,,
Once I was very very scared,Chandra Ghosh Ippen,,,,,"Communication and how to express themselves, all have something that they use to comfort them, communication is important",,,,,,
One red sock,Jennifer Sattler,Librarian recommendation,English,,"rhyming, colors, trying multiple solutions, perseverence, worrying about what others will think, perfectionism, frustration",understanding that sometimes imperfect is just right,,,,,,
Our Skin! A first conversation about race,"Megan Madison, Jessica Ralli, & Isabel Roxas",,English,"Developmental Psychology, Adolescence, Social Psychology","Race, racism, talking about difficult topics",,,,,,,
Owl Babies,Martin Waddell,Student recommendation,English,Developmental Psychology,Separation anxiety,,,,,,,
"Patients, Patches",Christy Mihaly,Thriftbooks,English,Developmental Psychology,"Patience, family, routines, different types of family, different perspectives, new baby, breast-feeding, stages of consciousness, siblings, motion, growth",,,,,,,
penguin cha cha,kristi valiant,,,,,,,,,,,
Pink Is for Boys,Robb Pearlman,Skirball,English,"Developmental Psychology, Perception","gender norms (and breaking them), gender expectations; motion perception, Gestalt principles (similarity, proximity, common region, figure-ground segregation), diversity","uses colors to illustrate gender norms (e.g., blue is for boys) and how to break them ",,,,"No color is for one gender
Emphasizes on blue and pink because those are normally “gendered”
gender roles
Sex-typing
gender norms, how to break those standards",,
